Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,pop_size,pm,pc,elitism_k,iterations
berlin52,GA_tune_2,42,9802.62237485895,0.8216352462768555,29.973778505157107,"[51, 4, 15, 6, 5, 24, 38, 48, 16, 20, 49, 34, 39, 40, 36, 35, 37, 25, 12, 47, 14, 13, 52, 11, 27, 26, 28, 46, 44, 50, 29, 30, 42, 7, 2, 21, 23, 31, 3, 17, 18, 22, 1, 32, 45, 19, 41, 8, 9, 10, 43, 33]","[np.float64(26073.601941955316), np.float64(26073.601941955316), np.float64(25661.82235544182), np.float64(25502.253265404695), np.float64(23038.24779143415), np.float64(23038.24779143415), np.float64(23038.24779143415), np.float64(22968.41039880963), np.float64(22270.6148677645), np.float64(22270.6148677645), np.float64(21525.71950849278), np.float64(20868.188043104015), np.float64(20868.188043104015), np.float64(20648.48671649594), np.float64(18681.02293872885), np.float64(18681.02293872885), np.float64(18425.279744656407), np.float64(18425.279744656407), np.float64(18425.279744656407), np.float64(18139.145971803162), np.float64(18139.145971803162), np.float64(17905.2280419168), np.float64(17655.385163485957), np.float64(17655.385163485957), np.float64(17350.47758705515), np.float64(17350.47758705515), np.float64(16400.0225828055), np.float64(16349.483617985012), np.float64(16349.483617985012), np.float64(16349.483617985012), np.float64(16180.094554641475), np.float64(16180.094554641475), np.float64(15921.69721244292), np.float64(15921.69721244292), np.float64(15921.69721244292), np.float64(15781.467728492822), np.float64(15371.316047792012), np.float64(15371.316047792012), np.float64(15357.225274045948), np.float64(15060.911950149351), np.float64(15060.911950149351), np.float64(14904.66328753994), np.float64(14904.66328753994), np.float64(14841.932387458226), np.float64(14695.526353004616), np.float64(14424.610834471016), np.float64(14329.032916863052), np.float64(14329.032916863052), np.float64(14195.070580828273), np.float64(13942.031482844119), np.float64(13940.319437557951), np.float64(13847.172200406203), np.float64(13747.855536135205), np.float64(13580.350590174965), np.float64(13580.350590174965), np.float64(13510.150589210127), np.float64(13360.15467600877), np.float64(13360.15467600877), np.float64(13333.461893077087), np.float64(13106.107229523443), np.float64(13106.107229523443), np.float64(13106.107229523443), np.float64(13041.06616697952), np.float64(13041.06616697952), np.float64(13041.06616697952), np.float64(13041.06616697952), np.float64(13011.919384959016), np.float64(12894.889046405524), np.float64(12894.889046405524), np.float64(12894.889046405524), np.float64(12686.852347772656), np.float64(12686.852347772656), np.float64(12686.852347772654), np.float64(12686.852347772654), np.float64(12686.852347772654), np.float64(12686.852347772654), np.float64(12686.852347772654), np.float64(12686.852347772654), np.float64(12679.362082101085), np.float64(12671.96876066361), np.float64(12671.96876066361), np.float64(12290.518228294372), np.float64(12290.518228294372), np.float64(12123.329827118969), np.float64(12123.329827118969), np.float64(12123.329827118969), np.float64(12123.329827118967), np.float64(12123.329827118967), np.float64(12098.983311784472), np.float64(12029.50977514826), np.float64(12029.509775148259), np.float64(11980.633189923969), np.float64(11692.342860410748), np.float64(11692.342860410748), np.float64(11692.342860410748), np.float64(11625.484137775637), np.float64(11183.08422605285), np.float64(11183.08422605285), np.float64(11183.08422605285), np.float64(11155.523692287708), np.float64(11155.523692287708), np.float64(11008.575606795706), np.float64(11008.575606795706), np.float64(11008.575606795706), np.float64(10981.015073030565), np.float64(10971.132053725549), np.float64(10971.132053725549), np.float64(10971.132053725549), np.float64(10971.132053725549), np.float64(10811.267924018406), np.float64(10811.267924018406), np.float64(10811.267924018406), np.float64(10811.267924018406), np.float64(10811.267924018406), np.float64(10811.267924018406), np.float64(10811.267924018406), np.float64(10811.267924018406), np.float64(10808.758176799038), np.float64(10808.758176799038), np.float64(10808.758176799038), np.float64(10808.758176799038), np.float64(10808.758176799038), np.float64(10808.46776068206), np.float64(10808.46776068206), np.float64(10804.403634493337), np.float64(10804.403634493337), np.float64(10801.603471156992), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10797.151280475304), np.float64(10770.216563151453), np.float64(10770.216563151453), np.float64(10770.216563151453), np.float64(10770.216563151453), np.float64(10770.216563151453), np.float64(10770.216563151453), np.float64(10770.216563151453), np.float64(10770.216563151453), np.float64(10770.216563151453), np.float64(10697.038206832403), np.float64(10697.038206832403), np.float64(10297.997481473183), np.float64(10297.997481473183), np.float64(10297.997481473183), np.float64(10297.997481473183), np.float64(10240.201128172605), np.float64(10240.201128172605), np.float64(10240.201128172605), np.float64(10240.201128172605), np.float64(10240.201128172605), np.float64(10240.201128172605), np.float64(10240.201128172605), np.float64(10240.201128172605), np.float64(10239.596061325477), np.float64(10239.596061325477), np.float64(10239.596061325477), np.float64(10239.596061325477), np.float64(10181.862997451493), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.7658646028), np.float64(10089.765864602796), np.float64(10089.765864602796), np.float64(10089.765864602796), np.float64(10089.765864602796), np.float64(10089.765864602796), np.float64(10089.765864602796), np.float64(10089.765864602796), np.float64(10089.765864602796), np.float64(10089.765864602796), np.float64(9917.34374021504), np.float64(9802.62237485895), np.float64(9802.62237485895), np.float64(9802.62237485895), np.float64(9802.62237485895), np.float64(9802.62237485895)]",50,0.1,0.85,2,200
berlin52,GA_tune_2,43,9362.551867986189,0.7948079109191895,24.138847361259465,"[20, 50, 29, 16, 44, 46, 25, 4, 12, 26, 28, 27, 47, 14, 52, 13, 11, 51, 33, 43, 10, 9, 8, 17, 18, 22, 31, 3, 41, 19, 45, 32, 49, 35, 34, 39, 37, 40, 5, 38, 6, 15, 48, 24, 36, 1, 21, 42, 2, 7, 30, 23]","[np.float64(25603.56416817617), np.float64(25603.56416817617), np.float64(24929.818661731402), np.float64(23538.143591013297), np.float64(22738.455737253964), np.float64(22738.455737253964), np.float64(22533.93773383826), np.float64(22533.93773383826), np.float64(22533.93773383826), np.float64(22092.49342519804), np.float64(21149.060187493804), np.float64(21149.060187493804), np.float64(21149.060187493804), np.float64(21117.781645072384), np.float64(20403.558367836384), np.float64(19669.749074049647), np.float64(19319.33019309683), np.float64(19303.807136657622), np.float64(19286.42094691527), np.float64(19286.42094691527), np.float64(18687.667280143345), np.float64(18687.667280143345), np.float64(18687.667280143345), np.float64(18687.667280143345), np.float64(18585.142336743145), np.float64(18267.70346904751), np.float64(18267.70346904751), np.float64(18267.70346904751), np.float64(17666.713167696213), np.float64(17666.713167696213), np.float64(17153.586422637392), np.float64(17153.586422637392), np.float64(17153.586422637392), np.float64(16721.039903094297), np.float64(16721.039903094297), np.float64(16629.978263623103), np.float64(16018.16057130406), np.float64(16018.16057130406), np.float64(16018.160571304057), np.float64(15719.559149543778), np.float64(15719.559149543778), np.float64(15719.559149543778), np.float64(15714.835831143298), np.float64(15573.706373472962), np.float64(15332.396287173984), np.float64(15327.672968773504), np.float64(15268.63922089623), np.float64(15106.05697547205), np.float64(15106.05697547205), np.float64(14871.954394587916), np.float64(14871.954394587914), np.float64(14846.833384460402), np.float64(14134.5620881092), np.float64(14134.5620881092), np.float64(13898.343387347468), np.float64(13828.453238207601), np.float64(13720.131687841698), np.float64(13720.131687841698), np.float64(13720.131687841698), np.float64(13354.72738218253), np.float64(13354.72738218253), np.float64(13354.72738218253), np.float64(13338.210656016365), np.float64(13247.236727928024), np.float64(13158.0152150287), np.float64(12899.5538863575), np.float64(12899.5538863575), np.float64(12899.5538863575), np.float64(12410.954365519654), np.float64(12410.954365519654), np.float64(12410.954365519654), np.float64(12410.954365519654), np.float64(12410.954365519652), np.float64(12113.960146189605), np.float64(12113.960146189605), np.float64(12113.960146189605), np.float64(12113.960146189605), np.float64(12113.960146189605), np.float64(12091.56441999009), np.float64(12091.56441999009), np.float64(12039.800257216752), np.float64(11977.143164250227), np.float64(11722.074518069008), np.float64(11649.987611786668), np.float64(11559.241642821884), np.float64(11559.241642821884), np.float64(11258.101983666067), np.float64(11258.101983666067), np.float64(11258.101983666067), np.float64(11183.483036317135), np.float64(11183.483036317135), np.float64(11183.483036317135), np.float64(11183.483036317135), np.float64(11183.483036317135), np.float64(11183.483036317135), np.float64(10938.029986853984), np.float64(10938.029986853984), np.float64(10844.231254479544), np.float64(10844.231254479544), np.float64(10844.231254479544), np.float64(10844.231254479544), np.float64(10836.52311627866), np.float64(10836.52311627866), np.float64(10836.52311627866), np.float64(10836.52311627866), np.float64(10836.52311627866), np.float64(10836.52311627866), np.float64(10836.52311627866), np.float64(10836.52311627866), np.float64(10836.52311627866), np.float64(10779.552002522736), np.float64(10779.552002522736), np.float64(10779.552002522736), np.float64(10779.552002522736), np.float64(10779.552002522736), np.float64(10773.3831800758), np.float64(10773.3831800758), np.float64(10656.507404550517), np.float64(10656.507404550517), np.float64(10656.507404550517), np.float64(10656.507404550517), np.float64(10649.123561678885), np.float64(10649.123561678885), np.float64(10628.171768228773), np.float64(10628.171768228773), np.float64(10628.171768228773), np.float64(10609.997589985533), np.float64(10420.482973452254), np.float64(10375.440120920124), np.float64(10375.440120920124), np.float64(10341.784855436621), np.float64(10330.829132925248), np.float64(10324.912547419433), np.float64(10324.912547419433), np.float64(10312.037923128679), np.float64(10298.20929181106), np.float64(10298.20929181106), np.float64(10298.20929181106), np.float64(10281.336983793872), np.float64(10281.336983793872), np.float64(10281.336983793872), np.float64(10281.336983793872), np.float64(10281.336983793868), np.float64(10281.336983793868), np.float64(10269.39589741453), np.float64(10067.389896301083), np.float64(10067.389896301083), np.float64(10067.389896301083), np.float64(10067.389896301083), np.float64(10055.448809921743), np.float64(10055.448809921743), np.float64(10055.448809921743), np.float64(10055.448809921743), np.float64(10055.448809921743), np.float64(10019.87987814617), np.float64(10019.87987814617), np.float64(10019.87987814617), np.float64(9997.25057394357), np.float64(9997.25057394357), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9892.735312730942), np.float64(9891.36015919864), np.float64(9610.382706464428), np.float64(9610.382706464428), np.float64(9610.382706464428), np.float64(9610.382706464428), np.float64(9610.382706464428), np.float64(9610.382706464428), np.float64(9610.382706464428), np.float64(9506.536699449767), np.float64(9506.536699449767), np.float64(9506.536699449767), np.float64(9506.536699449767), np.float64(9506.536699449767), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9441.03319682117), np.float64(9438.162331115624), np.float64(9362.551867986189), np.float64(9362.551867986189)]",50,0.1,0.85,2,200
berlin52,GA_tune_2,44,10307.66939006741,0.8189563751220703,36.67023853178747,"[3, 19, 8, 41, 9, 32, 49, 36, 39, 40, 37, 38, 35, 34, 44, 16, 29, 20, 23, 50, 46, 5, 15, 24, 48, 28, 26, 47, 14, 13, 27, 52, 11, 12, 51, 33, 25, 4, 6, 43, 10, 45, 1, 22, 31, 18, 17, 42, 2, 7, 30, 21]","[np.float64(24765.91554196067), np.float64(24765.91554196067), np.float64(24765.91554196067), np.float64(24765.91554196067), np.float64(24765.91554196067), np.float64(23414.13410951912), np.float64(22650.73106407721), np.float64(21861.61205573575), np.float64(20885.03682367108), np.float64(20885.03682367108), np.float64(20885.03682367108), np.float64(20377.578238596358), np.float64(20377.578238596358), np.float64(19033.03893285947), np.float64(18876.39388604043), np.float64(18876.39388604043), np.float64(18876.39388604043), np.float64(18292.822509759386), np.float64(17878.28368204053), np.float64(17878.28368204053), np.float64(17494.41177455012), np.float64(17494.41177455012), np.float64(17053.852330595648), np.float64(17053.852330595648), np.float64(16868.943584809018), np.float64(16868.943584809018), np.float64(16799.548564364308), np.float64(16187.782935763176), np.float64(16187.782935763176), np.float64(16187.782935763176), np.float64(16187.782935763176), np.float64(16046.859014506794), np.float64(15931.136022772109), np.float64(15627.239462265663), np.float64(15627.239462265663), np.float64(15627.239462265663), np.float64(15451.919899853647), np.float64(15451.919899853647), np.float64(15451.919899853647), np.float64(15451.919899853647), np.float64(15451.919899853647), np.float64(15315.124063123814), np.float64(15315.124063123814), np.float64(15315.124063123814), np.float64(15053.6725034664), np.float64(15053.6725034664), np.float64(15053.6725034664), np.float64(14978.290711066982), np.float64(14424.844955996214), np.float64(14424.844955996214), np.float64(14424.844955996214), np.float64(14190.768765896715), np.float64(14190.768765896715), np.float64(14190.768765896715), np.float64(13370.932896934457), np.float64(13370.932896934457), np.float64(13370.932896934457), np.float64(13337.765634782716), np.float64(13203.756738140732), np.float64(12947.410454879482), np.float64(12947.410454879482), np.float64(12947.410454879482), np.float64(12947.410454879482), np.float64(12947.410454879482), np.float64(12861.299773350924), np.float64(12861.299773350924), np.float64(12861.299773350924), np.float64(12861.299773350924), np.float64(12784.429252401706), np.float64(12784.429252401706), np.float64(12784.429252401706), np.float64(12703.732941939903), np.float64(12607.779601247325), np.float64(12607.779601247325), np.float64(12607.779601247325), np.float64(12607.779601247325), np.float64(12607.779601247325), np.float64(12349.322604054141), np.float64(12158.052115372346), np.float64(12158.052115372346), np.float64(12116.365904808337), np.float64(12116.365904808337), np.float64(12116.365904808337), np.float64(12116.365904808337), np.float64(12116.365904808337), np.float64(12116.365904808337), np.float64(12116.365904808337), np.float64(12113.334270914562), np.float64(12096.425847693505), np.float64(11965.388588604612), np.float64(11965.388588604612), np.float64(11965.388588604612), np.float64(11965.388588604612), np.float64(11965.388588604612), np.float64(11945.44853148978), np.float64(11914.272990128065), np.float64(11914.272990128065), np.float64(11914.272990128065), np.float64(11914.272990128065), np.float64(11914.272990128065), np.float64(11887.256245785036), np.float64(11887.256245785036), np.float64(11887.256245785036), np.float64(11887.256245785036), np.float64(11760.595288776676), np.float64(11760.595288776676), np.float64(11760.595288776676), np.float64(11760.595288776676), np.float64(11760.595288776676), np.float64(11760.595288776676), np.float64(11760.595288776676), np.float64(11760.595288776676), np.float64(11739.093131488426), np.float64(11739.093131488426), np.float64(11717.118505897914), np.float64(11717.118505897914), np.float64(11708.81633578576), np.float64(11708.81633578576), np.float64(11708.81633578576), np.float64(11676.22417452265), np.float64(11676.22417452265), np.float64(11676.22417452265), np.float64(11676.22417452265), np.float64(11676.22417452265), np.float64(11676.22417452265), np.float64(11628.2114187924), np.float64(11628.2114187924), np.float64(11628.2114187924), np.float64(11442.148187022374), np.float64(11442.148187022374), np.float64(11442.148187022374), np.float64(11162.53649155904), np.float64(11162.53649155904), np.float64(11162.53649155904), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11119.46371045924), np.float64(11110.165040676451), np.float64(11110.165040676451), np.float64(11110.165040676451), np.float64(11028.362998921944), np.float64(11028.362998921944), np.float64(11019.064329139157), np.float64(11019.064329139157), np.float64(10991.36829671732), np.float64(10991.36829671732), np.float64(10991.36829671732), np.float64(10991.36829671732), np.float64(10891.516406535127), np.float64(10891.516406535124), np.float64(10891.516406535124), np.float64(10891.516406535124), np.float64(10891.516406535124), np.float64(10891.516406535124), np.float64(10891.516406535122), np.float64(10891.516406535122), np.float64(10840.097174788116), np.float64(10840.097174788116), np.float64(10840.097174788116), np.float64(10840.097174788116), np.float64(10840.097174788116), np.float64(10840.097174788116), np.float64(10840.097174788116), np.float64(10840.097174788116), np.float64(10720.210392537783), np.float64(10720.210392537783), np.float64(10580.034510142475), np.float64(10580.034510142475), np.float64(10580.034510142475), np.float64(10580.034510142475), np.float64(10580.034510142475), np.float64(10364.466069830312), np.float64(10364.466069830312), np.float64(10364.466069830312), np.float64(10364.466069830312), np.float64(10326.832693020684), np.float64(10326.832693020684), np.float64(10307.66939006741), np.float64(10307.66939006741), np.float64(10307.66939006741), np.float64(10307.66939006741)]",50,0.1,0.85,2,200
