Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,alpha,beta,rho,iterations
berlin52,ACO_tune_14,42,7906.301138323917,6.965549945831299,4.830298837495588,"[16, np.int64(50), np.int64(20), np.int64(23), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22)]","[np.float64(8827.649613153135), np.float64(8582.801239371465), np.float64(8582.801239371465), np.float64(7989.929594806453), np.float64(7989.929594806453), np.float64(7989.929594806453), np.float64(7989.929594806453), np.float64(7989.929594806453), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917), np.float64(7906.301138323917)]",40,2.0,5.0,0.1,50
berlin52,ACO_tune_14,43,7870.444783026998,5.816895246505737,4.354876465486585,"[29, np.int64(30), np.int64(23), np.int64(20), np.int64(50), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(9), np.int64(10), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2)]","[np.float64(8935.473459476847), np.float64(8935.473459476847), np.float64(8686.459803264263), np.float64(8247.91405425436), np.float64(8247.91405425436), np.float64(8247.91405425436), np.float64(8182.073133950542), np.float64(8182.073133950542), np.float64(8182.073133950542), np.float64(8182.073133950542), np.float64(8182.073133950542), np.float64(8182.073133950542), np.float64(8182.073133950542), np.float64(8093.352348459832), np.float64(8093.352348459832), np.float64(8093.352348459832), np.float64(8093.352348459832), np.float64(8027.067975947558), np.float64(8027.067975947558), np.float64(8027.067975947558), np.float64(8027.067975947558), np.float64(8027.067975947558), np.float64(8027.067975947558), np.float64(8027.067975947558), np.float64(8027.067975947558), np.float64(7937.257905717941), np.float64(7937.257905717941), np.float64(7937.257905717941), np.float64(7937.257905717941), np.float64(7937.257905717941), np.float64(7937.257905717941), np.float64(7937.257905717941), np.float64(7937.257905717941), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998), np.float64(7870.444783026998)]",40,2.0,5.0,0.1,50
berlin52,ACO_tune_14,44,7791.671943447611,6.920501470565796,3.3104208889898015,"[29, np.int64(30), np.int64(23), np.int64(20), np.int64(50), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2)]","[np.float64(8957.742735190726), np.float64(8190.508007930397), np.float64(8190.508007930397), np.float64(8190.508007930397), np.float64(8190.508007930397), np.float64(8172.543023342832), np.float64(8161.079687745337), np.float64(8039.159129028425), np.float64(8039.159129028425), np.float64(8039.159129028425), np.float64(8039.159129028425), np.float64(8006.7361357584505), np.float64(8006.7361357584505), np.float64(8006.7361357584505), np.float64(7829.8342780163375), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611), np.float64(7791.671943447611)]",40,2.0,5.0,0.1,50
