Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,alpha,beta,rho,iterations
berlin52,ACO_tune_15,42,8027.364285295101,5.896423816680908,6.435485087444984,"[42, np.int64(7), np.int64(2), np.int64(30), np.int64(23), np.int64(20), np.int64(50), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(29)]","[np.float64(8827.649613153135), np.float64(8244.493271457586), np.float64(8244.493271457586), np.float64(8244.493271457586), np.float64(8244.493271457586), np.float64(8244.493271457586), np.float64(8081.111953503478), np.float64(8081.111953503477), np.float64(8081.111953503477), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101)]",40,2.0,5.0,0.3,50
berlin52,ACO_tune_15,43,7836.230380288999,6.838575124740601,3.9012248778705807,"[7, np.int64(2), np.int64(42), np.int64(21), np.int64(30), np.int64(23), np.int64(20), np.int64(50), np.int64(16), np.int64(29), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(9), np.int64(10), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17)]","[np.float64(8935.473459476847), np.float64(8736.645605742133), np.float64(8736.645605742133), np.float64(8247.91405425436), np.float64(8247.91405425436), np.float64(8247.91405425436), np.float64(8167.716295785505), np.float64(8167.716295785505), np.float64(8080.815644155934), np.float64(8080.815644155934), np.float64(8080.815644155934), np.float64(8080.815644155934), np.float64(8080.815644155934), np.float64(8080.815644155934), np.float64(7902.1110783061295), np.float64(7902.1110783061295), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999), np.float64(7836.230380288999)]",40,2.0,5.0,0.3,50
berlin52,ACO_tune_15,44,7681.749965600122,5.772438287734985,1.8529563192803216,"[30, np.int64(23), np.int64(20), np.int64(50), np.int64(16), np.int64(29), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2)]","[np.float64(8957.742735190726), np.float64(8190.508007930397), np.float64(8190.508007930397), np.float64(8190.508007930397), np.float64(8190.508007930397), np.float64(8044.838058605515), np.float64(8044.838058605515), np.float64(8044.838058605515), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122)]",40,2.0,5.0,0.3,50
