Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,alpha,beta,rho,iterations
berlin52,ACO_tune_10,42,7915.588166170202,6.948100328445435,4.9534363056245345,"[23, np.int64(20), np.int64(50), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(30), np.int64(42), np.int64(7), np.int64(2), np.int64(29)]","[np.float64(8827.649613153135), np.float64(8827.649613153135), np.float64(8827.649613153135), np.float64(8662.747290979454), np.float64(8662.747290979454), np.float64(8563.121567448263), np.float64(8314.198751984244), np.float64(8314.198751984244), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202), np.float64(7915.588166170202)]",40,1.0,5.0,0.1,50
berlin52,ACO_tune_10,43,7988.447251429574,5.794663429260254,5.91948092587608,"[44, np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(37), np.int64(38), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(46), np.int64(16), np.int64(50), np.int64(20), np.int64(23), np.int64(21), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29), np.int64(47), np.int64(26), np.int64(28), np.int64(27), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(12), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22)]","[np.float64(8935.473459476847), np.float64(8784.078100126304), np.float64(8658.286424294598), np.float64(8658.286424294598), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(8026.893663380913), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574), np.float64(7988.447251429574)]",40,1.0,5.0,0.1,50
berlin52,ACO_tune_10,44,7853.2093739150305,6.841733455657959,4.126350754641083,"[19, np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29), np.int64(50), np.int64(20), np.int64(23), np.int64(16), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(46), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41)]","[np.float64(8957.742735190726), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8482.22857879349), np.float64(8379.608020607811), np.float64(8379.608020607811), np.float64(8359.239111263985), np.float64(8359.239111263985), np.float64(8359.239111263985), np.float64(8359.239111263985), np.float64(8359.239111263985), np.float64(8252.05319568873), np.float64(8252.05319568873), np.float64(8252.05319568873), np.float64(8118.0993436057815), np.float64(8118.0993436057815), np.float64(8118.0993436057815), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7982.754029865298), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7979.059492775387), np.float64(7974.504485220797), np.float64(7974.504485220797), np.float64(7974.504485220797), np.float64(7974.504485220797), np.float64(7974.504485220797), np.float64(7853.2093739150305), np.float64(7853.2093739150305), np.float64(7853.2093739150305), np.float64(7853.2093739150305)]",40,1.0,5.0,0.1,50
