Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,iterations,alpha,beta,rho,Q
att48,ACO,42,36709.81501181304,8.948714971542358,245.40661471408583,"[39, np.int64(47), np.int64(21), np.int64(13), np.int64(25), np.int64(14), np.int64(23), np.int64(11), np.int64(12), np.int64(15), np.int64(46), np.int64(33), np.int64(20), np.int64(6), np.int64(37), np.int64(19), np.int64(27), np.int64(17), np.int64(43), np.int64(30), np.int64(36), np.int64(18), np.int64(7), np.int64(28), np.int64(44), np.int64(31), np.int64(38), np.int64(9), np.int64(1), np.int64(8), np.int64(40), np.int64(3), np.int64(22), np.int64(16), np.int64(41), np.int64(34), np.int64(29), np.int64(2), np.int64(26), np.int64(4), np.int64(35), np.int64(45), np.int64(10), np.int64(42), np.int64(48), np.int64(5), np.int64(24), np.int64(32)]","[np.float64(58899.93222250795), np.float64(58899.93222250795), np.float64(56991.10768571567), np.float64(54616.31593846335), np.float64(54520.10304427263), np.float64(50309.225393156885), np.float64(50309.225393156885), np.float64(50309.225393156885), np.float64(49944.11611811384), np.float64(49944.11611811384), np.float64(49944.11611811384), np.float64(49841.060813789845), np.float64(45119.33539731304), np.float64(45119.33539731304), np.float64(44871.01812741815), np.float64(42658.20525773057), np.float64(42658.20525773057), np.float64(42658.20525773057), np.float64(42368.26704419201), np.float64(42368.26704419201), np.float64(41915.9822478072), np.float64(41915.9822478072), np.float64(41915.9822478072), np.float64(40466.53868320979), np.float64(40466.53868320979), np.float64(40466.080735932184), np.float64(40466.080735932184), np.float64(40466.080735932184), np.float64(40466.080735932184), np.float64(40466.080735932184), np.float64(38113.37164348553), np.float64(38113.37164348553), np.float64(38113.37164348553), np.float64(38113.37164348553), np.float64(38113.37164348553), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37780.0748912688), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(37654.28269999048), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36954.39276770667), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304), np.float64(36709.81501181304)]",30,100,1.0,2.0,0.1,100.0
att48,ACO,43,36164.3059988803,8.914474964141846,240.2738614873946,"[41, np.int64(34), np.int64(14), np.int64(23), np.int64(11), np.int64(12), np.int64(15), np.int64(40), np.int64(8), np.int64(1), np.int64(9), np.int64(38), np.int64(31), np.int64(44), np.int64(18), np.int64(7), np.int64(36), np.int64(28), np.int64(30), np.int64(43), np.int64(17), np.int64(27), np.int64(19), np.int64(37), np.int64(6), np.int64(46), np.int64(33), np.int64(20), np.int64(47), np.int64(21), np.int64(13), np.int64(25), np.int64(39), np.int64(32), np.int64(24), np.int64(45), np.int64(35), np.int64(4), np.int64(26), np.int64(10), np.int64(42), np.int64(48), np.int64(5), np.int64(29), np.int64(2), np.int64(3), np.int64(22), np.int64(16)]","[np.float64(60716.58642274038), np.float64(59081.7833687696), np.float64(56465.75821055751), np.float64(56465.75821055751), np.float64(56116.521068227674), np.float64(51010.58832772542), np.float64(50709.23743988028), np.float64(50709.23743988028), np.float64(50709.23743988028), np.float64(48057.68667377202), np.float64(48057.68667377202), np.float64(47006.01921023922), np.float64(46299.50571027167), np.float64(43707.81497818961), np.float64(43707.81497818961), np.float64(43707.81497818961), np.float64(43707.81497818961), np.float64(43707.81497818961), np.float64(43707.81497818961), np.float64(43707.81497818961), np.float64(42611.562078104915), np.float64(42611.562078104915), np.float64(41241.67156695492), np.float64(41241.67156695492), np.float64(41241.67156695492), np.float64(41241.67156695492), np.float64(40948.37704530082), np.float64(40948.37704530082), np.float64(40948.37704530082), np.float64(40825.823788510985), np.float64(38874.67081748535), np.float64(38874.67081748535), np.float64(38874.67081748535), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(37112.91781781799), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803), np.float64(36164.3059988803)]",30,100,1.0,2.0,0.1,100.0
att48,ACO,44,36464.81059803709,7.797036647796631,243.10134172033392,"[19, np.int64(27), np.int64(43), np.int64(17), np.int64(30), np.int64(6), np.int64(37), np.int64(28), np.int64(7), np.int64(18), np.int64(36), np.int64(44), np.int64(31), np.int64(38), np.int64(9), np.int64(40), np.int64(8), np.int64(1), np.int64(16), np.int64(22), np.int64(3), np.int64(34), np.int64(41), np.int64(29), np.int64(2), np.int64(26), np.int64(4), np.int64(35), np.int64(45), np.int64(24), np.int64(10), np.int64(42), np.int64(5), np.int64(48), np.int64(39), np.int64(32), np.int64(21), np.int64(13), np.int64(25), np.int64(14), np.int64(23), np.int64(11), np.int64(12), np.int64(15), np.int64(46), np.int64(33), np.int64(20), np.int64(47)]","[np.float64(62888.00488108744), np.float64(55511.286764810815), np.float64(55511.286764810815), np.float64(55511.286764810815), np.float64(53225.81653351039), np.float64(53033.55193849347), np.float64(52917.38406208828), np.float64(52917.38406208828), np.float64(48485.92138728468), np.float64(48485.92138728468), np.float64(47835.289493881995), np.float64(45030.16449658558), np.float64(45030.16449658558), np.float64(45030.16449658558), np.float64(45030.16449658558), np.float64(45030.16449658558), np.float64(44775.65856930518), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(40652.32905603836), np.float64(38351.447572927034), np.float64(38351.447572927034), np.float64(38351.447572927034), np.float64(38351.447572927034), np.float64(38351.447572927034), np.float64(38162.4748744066), np.float64(38162.4748744066), np.float64(38162.4748744066), np.float64(38162.4748744066), np.float64(38162.4748744066), np.float64(38162.4748744066), np.float64(38162.4748744066), np.float64(38162.4748744066), np.float64(38162.4748744066), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(37796.684187976), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709), np.float64(36464.81059803709)]",30,100,1.0,2.0,0.1,100.0
att48,ACO,45,34695.205995776225,8.961964130401611,226.4509408710597,"[1, np.int64(8), np.int64(9), np.int64(38), np.int64(31), np.int64(44), np.int64(18), np.int64(7), np.int64(28), np.int64(6), np.int64(37), np.int64(19), np.int64(27), np.int64(43), np.int64(17), np.int64(30), np.int64(36), np.int64(46), np.int64(33), np.int64(20), np.int64(47), np.int64(21), np.int64(32), np.int64(39), np.int64(48), np.int64(5), np.int64(42), np.int64(10), np.int64(24), np.int64(45), np.int64(35), np.int64(4), np.int64(26), np.int64(2), np.int64(29), np.int64(34), np.int64(41), np.int64(16), np.int64(22), np.int64(40), np.int64(15), np.int64(12), np.int64(11), np.int64(23), np.int64(13), np.int64(25), np.int64(14), np.int64(3)]","[np.float64(58548.70852443345), np.float64(58178.28957743561), np.float64(56109.35926472128), np.float64(51168.46911876809), np.float64(51168.46911876809), np.float64(51168.46911876809), np.float64(51168.46911876809), np.float64(51168.46911876809), np.float64(51168.46911876809), np.float64(47602.11689112999), np.float64(47602.11689112999), np.float64(46963.95371973524), np.float64(46963.95371973524), np.float64(46963.95371973524), np.float64(46445.19543090135), np.float64(45276.68303685736), np.float64(44737.90866618201), np.float64(44737.90866618201), np.float64(44737.90866618201), np.float64(44737.90866618201), np.float64(44737.90866618201), np.float64(43622.30221615365), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(39945.30272981381), np.float64(38842.77005435372), np.float64(38842.77005435372), np.float64(38842.77005435372), np.float64(38842.77005435372), np.float64(38842.77005435372), np.float64(38842.77005435372), np.float64(38842.77005435372), np.float64(38842.77005435372), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(37120.45512773898), np.float64(34695.205995776225), np.float64(34695.205995776225), np.float64(34695.205995776225), np.float64(34695.205995776225), np.float64(34695.205995776225), np.float64(34695.205995776225), np.float64(34695.205995776225), np.float64(34695.205995776225)]",30,100,1.0,2.0,0.1,100.0
att48,ACO,46,33625.61707023215,8.959846019744873,216.3870631372991,"[34, np.int64(14), np.int64(25), np.int64(13), np.int64(23), np.int64(11), np.int64(12), np.int64(15), np.int64(40), np.int64(9), np.int64(1), np.int64(8), np.int64(38), np.int64(31), np.int64(44), np.int64(18), np.int64(7), np.int64(28), np.int64(6), np.int64(37), np.int64(19), np.int64(27), np.int64(17), np.int64(43), np.int64(30), np.int64(36), np.int64(46), np.int64(33), np.int64(20), np.int64(47), np.int64(21), np.int64(32), np.int64(39), np.int64(48), np.int64(5), np.int64(42), np.int64(10), np.int64(24), np.int64(45), np.int64(35), np.int64(4), np.int64(26), np.int64(2), np.int64(29), np.int64(41), np.int64(16), np.int64(22), np.int64(3)]","[np.float64(65587.19518646988), np.float64(62738.00257281979), np.float64(60571.77875738388), np.float64(58960.36991008079), np.float64(53586.462899053244), np.float64(48809.78076471389), np.float64(48809.78076471389), np.float64(48809.78076471389), np.float64(48809.78076471389), np.float64(48809.78076471389), np.float64(47366.55663503759), np.float64(47366.55663503759), np.float64(47366.55663503759), np.float64(47366.55663503759), np.float64(47366.55663503759), np.float64(45685.71903435439), np.float64(45685.71903435439), np.float64(40127.46907554702), np.float64(40127.46907554702), np.float64(40127.46907554702), np.float64(40127.46907554702), np.float64(40127.46907554702), np.float64(40127.46907554702), np.float64(39395.88830295224), np.float64(39395.88830295224), np.float64(39395.88830295224), np.float64(39395.88830295224), np.float64(39395.88830295224), np.float64(39395.88830295224), np.float64(39395.88830295224), np.float64(39395.88830295224), np.float64(39299.97289082021), np.float64(39299.97289082021), np.float64(39299.97289082021), np.float64(39299.97289082021), np.float64(39299.97289082021), np.float64(39299.97289082021), np.float64(39299.97289082021), np.float64(37820.28351681951), np.float64(37820.28351681951), np.float64(37820.28351681951), np.float64(37820.28351681951), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(37317.49576315595), np.float64(36543.94943974066), np.float64(36543.94943974066), np.float64(36543.94943974066), np.float64(36543.94943974066), np.float64(36543.94943974066), np.float64(36543.94943974066), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(36398.208566653135), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215), np.float64(33625.61707023215)]",30,100,1.0,2.0,0.1,100.0
