Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,alpha,beta,rho,iterations
berlin52,ACO_tune_7,42,8058.721063839596,4.030036449432373,6.851247200206793,"[43, np.int64(33), np.int64(51), np.int64(11), np.int64(52), np.int64(13), np.int64(14), np.int64(47), np.int64(26), np.int64(27), np.int64(28), np.int64(12), np.int64(25), np.int64(4), np.int64(6), np.int64(15), np.int64(5), np.int64(24), np.int64(48), np.int64(37), np.int64(38), np.int64(40), np.int64(39), np.int64(36), np.int64(35), np.int64(34), np.int64(44), np.int64(16), np.int64(50), np.int64(20), np.int64(23), np.int64(21), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(2), np.int64(7), np.int64(42), np.int64(30), np.int64(29), np.int64(46), np.int64(49), np.int64(32), np.int64(22), np.int64(1), np.int64(45), np.int64(19), np.int64(41), np.int64(8), np.int64(9), np.int64(10)]","[np.float64(9799.699829996736), np.float64(8952.543174874876), np.float64(8664.912025826121), np.float64(8298.204032328356), np.float64(8298.204032328356), np.float64(8298.204032328356), np.float64(8298.204032328356), np.float64(8285.495130260053), np.float64(8285.495130260053), np.float64(8098.993988582609), np.float64(8098.993988582609), np.float64(8098.993988582609), np.float64(8098.993988582609), np.float64(8081.111953503478), np.float64(8081.111953503478), np.float64(8074.139587915947), np.float64(8074.139587915947), np.float64(8074.139587915947), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8065.26812425579), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596), np.float64(8058.721063839596)]",20,2.0,5.0,0.3,50
berlin52,ACO_tune_7,43,7742.654277422795,2.908661365509033,2.6604916126066644,"[23, np.int64(20), np.int64(50), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(9), np.int64(10), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29)]","[np.float64(8935.473459476847), np.float64(8821.174818836456), np.float64(8448.798929565964), np.float64(8436.108835098757), np.float64(8350.875765610996), np.float64(8293.298804358463), np.float64(8172.42149738676), np.float64(8172.42149738676), np.float64(8172.42149738676), np.float64(8172.42149738676), np.float64(7972.695653356116), np.float64(7972.695653356116), np.float64(7972.695653356116), np.float64(7972.695653356116), np.float64(7957.740677174323), np.float64(7957.740677174323), np.float64(7957.740677174323), np.float64(7957.740677174323), np.float64(7957.740677174323), np.float64(7957.740677174323), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795), np.float64(7742.654277422795)]",20,2.0,5.0,0.3,50
berlin52,ACO_tune_7,44,8001.823643480996,2.883762836456299,6.096839611256908,"[36, np.int64(35), np.int64(34), np.int64(44), np.int64(16), np.int64(50), np.int64(20), np.int64(23), np.int64(21), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29), np.int64(46), np.int64(37), np.int64(38), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(40), np.int64(39)]","[np.float64(8957.742735190726), np.float64(8366.703683821836), np.float64(8366.703683821836), np.float64(8325.22979907029), np.float64(8325.22979907029), np.float64(8325.22979907029), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8135.199929710838), np.float64(8037.492905239676), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996), np.float64(8001.823643480996)]",20,2.0,5.0,0.3,50
