Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,pop_size,pm,pc,elitism_k,iterations
berlin52,GA_tune_6,42,8892.678277152978,1.6870133876800537,17.908754669225377,"[51, 12, 25, 6, 4, 43, 33, 10, 9, 8, 41, 19, 45, 35, 34, 36, 32, 49, 1, 20, 50, 23, 30, 7, 2, 42, 21, 31, 17, 3, 18, 22, 39, 40, 37, 38, 5, 15, 24, 48, 46, 44, 16, 29, 47, 26, 13, 14, 52, 11, 27, 28]","[np.float64(25578.13842188685), np.float64(23534.933571225014), np.float64(23534.933571225014), np.float64(22193.574347665573), np.float64(22193.574347665573), np.float64(21155.25491244651), np.float64(20368.41038734062), np.float64(20368.41038734062), np.float64(19073.837460876337), np.float64(19073.837460876337), np.float64(19073.837460876337), np.float64(18941.41523343701), np.float64(18941.41523343701), np.float64(18459.65911913913), np.float64(18459.65911913913), np.float64(18390.24901278362), np.float64(18052.34483745365), np.float64(17511.33694425877), np.float64(17252.454973591575), np.float64(17252.454973591575), np.float64(16998.495093651665), np.float64(16617.79362755544), np.float64(16568.69475784912), np.float64(16146.82859646814), np.float64(16146.82859646814), np.float64(15681.226333075416), np.float64(15526.313967021726), np.float64(15274.836788968121), np.float64(15274.836788968121), np.float64(15274.836788968121), np.float64(15274.836788968121), np.float64(15274.836788968121), np.float64(15274.836788968121), np.float64(15222.313096508766), np.float64(15145.125469182101), np.float64(15127.17295213908), np.float64(14953.811681790863), np.float64(14835.3790520025), np.float64(14753.727462215309), np.float64(14643.008428610388), np.float64(14407.020248740004), np.float64(14348.892783042515), np.float64(14028.829824020473), np.float64(14028.829824020473), np.float64(13492.404922170912), np.float64(13492.404922170912), np.float64(13492.404922170912), np.float64(13492.404922170912), np.float64(13492.404922170912), np.float64(13313.479222740647), np.float64(13313.479222740647), np.float64(13313.479222740647), np.float64(13294.43918792892), np.float64(13294.43918792892), np.float64(13294.43918792892), np.float64(13049.149436849853), np.float64(13049.149436849853), np.float64(12956.221676318728), np.float64(12912.90624993352), np.float64(12859.36253776411), np.float64(12590.799745711713), np.float64(12531.449540905105), np.float64(12531.449540905105), np.float64(12458.798677684968), np.float64(12426.82472825587), np.float64(12210.52832425228), np.float64(12210.52832425228), np.float64(12210.52832425228), np.float64(12210.52832425228), np.float64(12070.576384972703), np.float64(12070.576384972703), np.float64(12047.218308921894), np.float64(12047.218308921894), np.float64(11933.42108197151), np.float64(11933.42108197151), np.float64(11876.360492987164), np.float64(11713.050477656778), np.float64(11609.997789789257), np.float64(11609.997789789257), np.float64(11609.997789789257), np.float64(11531.156722352844), np.float64(11531.156722352844), np.float64(11332.010189297893), np.float64(11332.010189297893), np.float64(11263.57539061437), np.float64(11258.83565573499), np.float64(10978.49755415647), np.float64(10973.757819277092), np.float64(10973.75781927709), np.float64(10855.981340564826), np.float64(10763.265618167346), np.float64(10763.265618167346), np.float64(10752.412985471794), np.float64(10542.70093086962), np.float64(10542.70093086962), np.float64(10542.70093086962), np.float64(10542.70093086962), np.float64(10463.87174924837), np.float64(10327.017441456648), np.float64(10308.72854907607), np.float64(10273.020062506195), np.float64(10273.020062506195), np.float64(10200.839704625341), np.float64(10036.409422332314), np.float64(10028.486960569026), np.float64(10028.486960569026), np.float64(10028.486960569026), np.float64(10028.486960569026), np.float64(10028.486960569026), np.float64(10028.486960569026), np.float64(10028.486960569026), np.float64(10028.486960569026), np.float64(10024.192408043715), np.float64(10024.192408043715), np.float64(10024.192408043715), np.float64(10024.192408043715), np.float64(9980.97722568816), np.float64(9980.97722568816), np.float64(9976.68267316285), np.float64(9976.68267316285), np.float64(9976.68267316285), np.float64(9976.682673162848), np.float64(9955.79966443515), np.float64(9925.5016713802), np.float64(9925.5016713802), np.float64(9925.5016713802), np.float64(9925.5016713802), np.float64(9887.17966941816), np.float64(9887.17966941816), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9668.147674434496), np.float64(9634.106311026255), np.float64(9600.501840318058), np.float64(9585.42994637739), np.float64(9538.656821267768), np.float64(9538.656821267768), np.float64(9538.656821267768), np.float64(9538.656821267768), np.float64(9538.656821267767), np.float64(9479.181711996955), np.float64(9479.181711996955), np.float64(9479.181711996955), np.float64(9479.181711996955), np.float64(9479.181711996953), np.float64(9479.181711996953), np.float64(9479.181711996953), np.float64(9479.181711996953), np.float64(9479.181711996953), np.float64(9479.181711996953), np.float64(9459.041617410488), np.float64(9459.041617410488), np.float64(9459.041617410487), np.float64(9459.041617410487), np.float64(9324.37419327818), np.float64(9324.37419327818), np.float64(9324.37419327818), np.float64(9324.37419327818), np.float64(9236.534260429617), np.float64(9236.534260429617), np.float64(9236.534260429617), np.float64(9236.534260429617), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9235.07653610002), np.float64(9204.478170010116), np.float64(9204.478170010116), np.float64(9204.478170010116), np.float64(9204.478170010116), np.float64(9165.549150390128), np.float64(9165.549150390128), np.float64(9165.549150390128), np.float64(9165.549150390128), np.float64(8989.653753871942), np.float64(8989.653753871942), np.float64(8892.678277152978), np.float64(8892.678277152978), np.float64(8892.678277152978), np.float64(8892.678277152978), np.float64(8892.678277152978), np.float64(8892.678277152978), np.float64(8892.678277152978)]",100,0.1,0.85,2,200
berlin52,GA_tune_6,43,8949.715854910331,1.7005703449249268,18.665020616684323,"[27, 52, 14, 13, 47, 26, 46, 48, 38, 37, 40, 39, 49, 32, 1, 36, 35, 34, 44, 16, 29, 50, 20, 30, 23, 31, 22, 21, 42, 2, 7, 17, 18, 3, 45, 19, 41, 8, 9, 10, 33, 43, 4, 6, 15, 5, 24, 25, 12, 11, 51, 28]","[np.float64(25603.56416817617), np.float64(25443.042251976574), np.float64(25107.593305963535), np.float64(24753.711926619202), np.float64(24116.340641103852), np.float64(23969.835382217163), np.float64(23258.89374242631), np.float64(21847.585268437688), np.float64(21847.585268437688), np.float64(21477.682774886587), np.float64(21050.785225536252), np.float64(21050.785225536252), np.float64(19998.141022140866), np.float64(19983.780075432715), np.float64(19734.033857806982), np.float64(19632.041657357448), np.float64(19632.041657357448), np.float64(18528.6962621157), np.float64(18222.772984114985), np.float64(18222.772984114985), np.float64(18044.183062000357), np.float64(17252.021310723056), np.float64(17252.021310723056), np.float64(16964.20936435561), np.float64(16265.645523949508), np.float64(16096.376676349355), np.float64(15932.782462489196), np.float64(15746.814765824078), np.float64(15746.814765824078), np.float64(14940.210319494121), np.float64(14940.210319494121), np.float64(14663.106043772439), np.float64(14663.106043772439), np.float64(14404.21378099275), np.float64(14011.453681919435), np.float64(14011.453681919435), np.float64(13979.07582475957), np.float64(13867.999525215831), np.float64(13517.140701636768), np.float64(13162.911701587034), np.float64(12901.508663707877), np.float64(12901.508663707877), np.float64(12901.508663707877), np.float64(12483.559956014818), np.float64(12483.559956014818), np.float64(12483.559956014818), np.float64(12483.559956014818), np.float64(12483.559956014818), np.float64(12472.977697833288), np.float64(12245.265996449996), np.float64(12134.915315084785), np.float64(12134.915315084785), np.float64(12002.819417218428), np.float64(11894.168006334177), np.float64(11735.576257794248), np.float64(11702.28111266446), np.float64(11576.388519161706), np.float64(11576.388519161706), np.float64(11576.388519161706), np.float64(11514.239186204808), np.float64(11501.187201130942), np.float64(11435.499927756002), np.float64(11435.499927756002), np.float64(11260.245717908838), np.float64(11260.245717908838), np.float64(11260.245717908838), np.float64(11260.245717908838), np.float64(11223.883416626959), np.float64(11223.883416626959), np.float64(11132.269136219622), np.float64(11112.445513389404), np.float64(11108.31542077411), np.float64(10989.236141189675), np.float64(10989.236141189675), np.float64(10989.236141189675), np.float64(10989.236141189675), np.float64(10817.370969897489), np.float64(10807.53357423168), np.float64(10807.53357423168), np.float64(10807.53357423168), np.float64(10807.533574231678), np.float64(10807.533574231678), np.float64(10807.533574231678), np.float64(10800.08615584254), np.float64(10763.12859971921), np.float64(10763.12859971921), np.float64(10509.330462451418), np.float64(10509.330462451418), np.float64(10509.330462451418), np.float64(10509.330462451418), np.float64(10509.330462451418), np.float64(10488.831058988415), np.float64(10466.286526505439), np.float64(10397.026167054366), np.float64(10397.026167054366), np.float64(10224.132615831537), np.float64(10224.132615831537), np.float64(10224.132615831537), np.float64(10149.827997573593), np.float64(10055.452155556099), np.float64(10055.452155556099), np.float64(9981.147537298155), np.float64(9981.147537298153), np.float64(9955.637716927175), np.float64(9955.637716927175), np.float64(9833.44114557022), np.float64(9833.44114557022), np.float64(9833.441145570217), np.float64(9833.441145570217), np.float64(9814.317951594765), np.float64(9814.317951594763), np.float64(9768.94143183898), np.float64(9768.94143183898), np.float64(9729.040762156581), np.float64(9729.040762156581), np.float64(9711.356991046332), np.float64(9711.356991046332), np.float64(9626.07980160815), np.float64(9605.885909717668), np.float64(9605.885909717668), np.float64(9548.301468925023), np.float64(9548.301468925023), np.float64(9548.00515957748), np.float64(9548.00515957748), np.float64(9510.37784531458), np.float64(9434.539863857883), np.float64(9434.539863857883), np.float64(9434.539863857883), np.float64(9434.539863857883), np.float64(9434.539863857883), np.float64(9434.243554510342), np.float64(9434.243554510342), np.float64(9434.243554510342), np.float64(9434.243554510342), np.float64(9434.243554510342), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9399.525614539487), np.float64(9356.198829962495), np.float64(9356.198829962495), np.float64(9356.198829962495), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9227.86817101346), np.float64(9193.937573076457), np.float64(9193.937573076457), np.float64(9193.937573076457), np.float64(9009.14908067479), np.float64(9009.14908067479), np.float64(9009.14908067479), np.float64(9009.14908067479), np.float64(9009.14908067479), np.float64(9009.14908067479), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8975.218482737786), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331), np.float64(8949.715854910331)]",100,0.1,0.85,2,200
berlin52,GA_tune_6,44,8052.6645696140195,2.3206615447998047,6.770943643781749,"[33, 43, 10, 9, 8, 41, 19, 45, 32, 49, 44, 16, 29, 50, 20, 23, 30, 7, 2, 42, 21, 17, 3, 18, 31, 22, 1, 36, 35, 34, 39, 40, 48, 46, 37, 38, 5, 15, 24, 6, 4, 25, 12, 28, 27, 26, 47, 14, 52, 13, 11, 51]","[np.float64(24765.91554196067), np.float64(23876.696533010847), np.float64(22921.06672242963), np.float64(22921.06672242963), np.float64(21187.830731856244), np.float64(21187.830731856244), np.float64(21187.830731856244), np.float64(20698.52203530295), np.float64(19991.557707738983), np.float64(19546.630392530482), np.float64(19077.634809191833), np.float64(18970.995003912885), np.float64(18743.28376844136), np.float64(18219.19705071876), np.float64(18175.73625527299), np.float64(18080.21803859177), np.float64(16894.876212087864), np.float64(16815.10994432185), np.float64(16324.34495724715), np.float64(16324.34495724715), np.float64(15630.07534113557), np.float64(15630.07534113557), np.float64(15630.07534113557), np.float64(15057.868070914465), np.float64(15057.868070914465), np.float64(15057.868070914465), np.float64(14400.710373950971), np.float64(14400.710373950971), np.float64(14333.761698255204), np.float64(14333.761698255204), np.float64(14333.761698255204), np.float64(13790.700554402169), np.float64(13790.700554402169), np.float64(13562.262136373456), np.float64(13562.262136373456), np.float64(13420.453711753862), np.float64(13404.99140928569), np.float64(13177.31265350385), np.float64(13177.31265350385), np.float64(12810.936640131078), np.float64(12810.936640131078), np.float64(12680.543236422416), np.float64(12680.543236422416), np.float64(12680.543236422416), np.float64(12382.327396445644), np.float64(12382.327396445644), np.float64(12382.327396445644), np.float64(12382.327396445644), np.float64(12382.327396445644), np.float64(12117.050957138064), np.float64(12117.050957138064), np.float64(12117.050957138064), np.float64(12117.050957138064), np.float64(12117.05095713806), np.float64(12117.05095713806), np.float64(12117.05095713806), np.float64(12117.05095713806), np.float64(12117.05095713806), np.float64(12117.05095713806), np.float64(11874.929260895851), np.float64(11874.929260895851), np.float64(11874.929260895851), np.float64(11865.332922063313), np.float64(11865.332922063313), np.float64(11862.768055853081), np.float64(11862.768055853081), np.float64(11786.922662381754), np.float64(11786.922662381754), np.float64(11786.922662381754), np.float64(11741.64764609421), np.float64(11741.64764609421), np.float64(11741.64764609421), np.float64(11555.890712362123), np.float64(11434.770302603249), np.float64(11434.770302603249), np.float64(11404.833600008806), np.float64(11146.142307379763), np.float64(11146.142307379763), np.float64(11146.142307379761), np.float64(10990.166026532552), np.float64(10990.166026532552), np.float64(10807.047884061081), np.float64(10807.047884061081), np.float64(10807.047884061081), np.float64(10761.772867773536), np.float64(10761.772867773536), np.float64(10717.532428333792), np.float64(10593.618092131263), np.float64(10593.618092131263), np.float64(10384.4175978543), np.float64(10384.4175978543), np.float64(10367.628917871418), np.float64(10358.251716990904), np.float64(10316.649554916901), np.float64(10311.9663667112), np.float64(10296.188020720476), np.float64(10254.585858646473), np.float64(10254.585858646473), np.float64(9923.702425192247), np.float64(9923.702425192247), np.float64(9923.702425192247), np.float64(9894.998232036429), np.float64(9854.42788888526), np.float64(9854.42788888526), np.float64(9768.905675509797), np.float64(9658.028977128806), np.float64(9658.028977128806), np.float64(9658.028977128806), np.float64(9658.028977128806), np.float64(9658.028977128806), np.float64(9658.028977128806), np.float64(9658.028977128806), np.float64(9592.59714190111), np.float64(9592.59714190111), np.float64(9592.59714190111), np.float64(9592.59714190111), np.float64(9535.434326019307), np.float64(9535.434326019307), np.float64(9535.434326019307), np.float64(9432.04945162435), np.float64(9432.04945162435), np.float64(9354.407396099563), np.float64(9309.454800514852), np.float64(9309.454800514852), np.float64(9272.801265965129), np.float64(9177.597605261368), np.float64(9177.597605261368), np.float64(9099.95554973658), np.float64(9099.95554973658), np.float64(9099.95554973658), np.float64(9094.430156301562), np.float64(9094.430156301562), np.float64(9094.430156301562), np.float64(9094.430156301562), np.float64(9094.430156301562), np.float64(8904.347561284321), np.float64(8904.347561284321), np.float64(8904.347561284321), np.float64(8807.84876812479), np.float64(8797.91157540583), np.float64(8797.91157540583), np.float64(8797.91157540583), np.float64(8797.91157540583), np.float64(8797.911575405828), np.float64(8797.911575405828), np.float64(8785.896594269012), np.float64(8785.896594269012), np.float64(8785.896594269012), np.float64(8785.896594269012), np.float64(8785.896594269012), np.float64(8785.896594269012), np.float64(8764.58310630964), np.float64(8763.940670944545), np.float64(8763.940670944545), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8758.811675691748), np.float64(8604.747121942162), np.float64(8604.747121942162), np.float64(8604.747121942162), np.float64(8604.747121942162), np.float64(8604.747121942162), np.float64(8600.860820414371), np.float64(8600.860820414371), np.float64(8600.860820414371), np.float64(8584.535405106204), np.float64(8560.793531634878), np.float64(8560.793531634878), np.float64(8442.352315178074), np.float64(8418.610441706745), np.float64(8418.610441706745), np.float64(8404.417221428843), np.float64(8404.417221428843), np.float64(8404.417221428843), np.float64(8398.928612743224), np.float64(8379.850573858308), np.float64(8379.850573858308), np.float64(8275.33747707275), np.float64(8275.33747707275), np.float64(8052.6645696140195), np.float64(8052.6645696140195), np.float64(8052.6645696140195), np.float64(8052.6645696140195), np.float64(8052.6645696140195), np.float64(8052.6645696140195), np.float64(8052.6645696140195), np.float64(8052.6645696140195), np.float64(8052.6645696140195), np.float64(8052.6645696140195)]",100,0.1,0.85,2,200
