Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,alpha,beta,rho,iterations
berlin52,ACO_tune_6,42,7905.330970875327,2.9793057441711426,4.817435307283569,"[45, np.int64(19), np.int64(41), np.int64(8), np.int64(9), np.int64(10), np.int64(43), np.int64(33), np.int64(51), np.int64(11), np.int64(52), np.int64(13), np.int64(14), np.int64(47), np.int64(26), np.int64(27), np.int64(28), np.int64(12), np.int64(25), np.int64(4), np.int64(6), np.int64(15), np.int64(5), np.int64(24), np.int64(48), np.int64(37), np.int64(38), np.int64(40), np.int64(39), np.int64(36), np.int64(35), np.int64(34), np.int64(44), np.int64(46), np.int64(16), np.int64(50), np.int64(20), np.int64(23), np.int64(21), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(2), np.int64(7), np.int64(42), np.int64(30), np.int64(29), np.int64(22), np.int64(1), np.int64(49), np.int64(32)]","[np.float64(9799.699829996736), np.float64(8952.543174874876), np.float64(8812.662342416092), np.float64(8564.952710758782), np.float64(8564.952710758782), np.float64(8564.952710758782), np.float64(8564.952710758782), np.float64(8497.474361434943), np.float64(8497.474361434943), np.float64(8488.4791837007), np.float64(8463.762752819446), np.float64(8463.762752819446), np.float64(8463.762752819446), np.float64(8463.762752819446), np.float64(8331.070359100859), np.float64(8331.070359100859), np.float64(8331.070359100859), np.float64(8257.136678073277), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.767550603431), np.float64(8123.228015948756), np.float64(7994.501169810021), np.float64(7994.501169810021), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327), np.float64(7905.330970875327)]",20,2.0,5.0,0.1,50
berlin52,ACO_tune_6,43,7791.375634100069,2.871861696243286,3.3064920989136692,"[46, np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(29), np.int64(30), np.int64(23), np.int64(20), np.int64(50), np.int64(16)]","[np.float64(8935.473459476847), np.float64(8821.174818836456), np.float64(8821.174818836456), np.float64(8455.431808252402), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7850.245618594861), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069), np.float64(7791.375634100069)]",20,2.0,5.0,0.1,50
berlin52,ACO_tune_6,44,7681.749965600122,2.9070630073547363,1.8529563192803216,"[30, np.int64(23), np.int64(20), np.int64(50), np.int64(16), np.int64(29), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2)]","[np.float64(8957.742735190726), np.float64(8468.436736241028), np.float64(8468.436736241028), np.float64(8468.436736241028), np.float64(8468.436736241028), np.float64(8197.833694957595), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(8033.164619552053), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122), np.float64(7681.749965600122)]",20,2.0,5.0,0.1,50
