Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,alpha,beta,rho,iterations
berlin52,ACO_tune_13,42,7699.458418545379,5.9381914138793945,2.087754157324034,"[20, np.int64(50), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(23), np.int64(29)]","[np.float64(13752.834801623283), np.float64(11158.733918898492), np.float64(10020.797485607967), np.float64(8981.137563482182), np.float64(8682.670730415693), np.float64(8267.488379972949), np.float64(8003.244189574457), np.float64(8003.244189574457), np.float64(8003.244189574457), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379), np.float64(7699.458418545379)]",40,2.0,2.0,0.3,50
berlin52,ACO_tune_13,43,7787.045135327517,6.859033584594727,3.249073658545699,"[28, np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(29), np.int64(30), np.int64(23), np.int64(20), np.int64(50), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(37), np.int64(38), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12)]","[np.float64(13327.157899093852), np.float64(10805.392189024693), np.float64(10097.543902469983), np.float64(9302.876702622116), np.float64(8640.739248542646), np.float64(8108.660629188881), np.float64(7900.966296302377), np.float64(7860.707613937084), np.float64(7860.707613937084), np.float64(7860.707613937084), np.float64(7791.671943447608), np.float64(7791.671943447608), np.float64(7791.671943447608), np.float64(7787.045135327518), np.float64(7787.045135327518), np.float64(7787.045135327518), np.float64(7787.045135327518), np.float64(7787.045135327518), np.float64(7787.045135327518), np.float64(7787.0451353275175), np.float64(7787.0451353275175), np.float64(7787.0451353275175), np.float64(7787.0451353275175), np.float64(7787.0451353275175), np.float64(7787.0451353275175), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517), np.float64(7787.045135327517)]",40,2.0,2.0,0.3,50
berlin52,ACO_tune_13,44,7870.444783026997,5.754711627960205,4.354876465486574,"[46, np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(9), np.int64(10), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(29), np.int64(30), np.int64(23), np.int64(20), np.int64(50), np.int64(16)]","[np.float64(13778.130080773022), np.float64(11895.646120153933), np.float64(9553.102813009269), np.float64(8303.169981927414), np.float64(8303.169981927414), np.float64(8303.169981927414), np.float64(8303.169981927414), np.float64(8152.912427495333), np.float64(8152.912427495333), np.float64(8049.962815235375), np.float64(8049.962815235375), np.float64(8049.962815235375), np.float64(8049.962815235375), np.float64(8049.962815235375), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997), np.float64(7870.444783026997)]",40,2.0,2.0,0.3,50
