Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,alpha,beta,rho,iterations
berlin52,ACO_tune_0,42,8160.415251353161,2.989936590194702,8.199618819320614,"[7, np.int64(2), np.int64(42), np.int64(30), np.int64(29), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(11), np.int64(52), np.int64(13), np.int64(14), np.int64(47), np.int64(26), np.int64(27), np.int64(28), np.int64(12), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(23), np.int64(20), np.int64(50)]","[np.float64(14345.441090512886), np.float64(11217.806075078292), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9827.392481175219), np.float64(9289.762117792518), np.float64(9289.762117792518), np.float64(9289.762117792518), np.float64(9289.762117792518), np.float64(9289.762117792518), np.float64(9289.762117792518), np.float64(9289.762117792518), np.float64(9289.762117792518), np.float64(9289.762117792518), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8755.48157057471), np.float64(8609.529420697121), np.float64(8609.529420697121), np.float64(8609.529420697121), np.float64(8609.529420697121), np.float64(8609.529420697121), np.float64(8609.529420697121), np.float64(8609.529420697121), np.float64(8609.529420697121), np.float64(8609.529420697121), np.float64(8187.547632932371), np.float64(8187.547632932371), np.float64(8187.547632932371), np.float64(8187.547632932371), np.float64(8187.547632932371), np.float64(8160.415251353161)]",20,1.0,2.0,0.1,50
berlin52,ACO_tune_0,43,8372.767128899317,3.3997464179992676,11.015209876681476,"[16, np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(24), np.int64(48), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(46), np.int64(29), np.int64(20), np.int64(50), np.int64(23), np.int64(21), np.int64(30), np.int64(42), np.int64(2), np.int64(7), np.int64(17), np.int64(3), np.int64(18), np.int64(31), np.int64(22), np.int64(1), np.int64(49), np.int64(32), np.int64(45), np.int64(19), np.int64(41), np.int64(8), np.int64(9), np.int64(10), np.int64(43), np.int64(33), np.int64(51), np.int64(12), np.int64(28), np.int64(27), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(26), np.int64(47)]","[np.float64(13327.157899093852), np.float64(13327.157899093852), np.float64(12674.962653847191), np.float64(12136.283159031154), np.float64(11052.334557076667), np.float64(11052.334557076667), np.float64(10968.59518787076), np.float64(10968.59518787076), np.float64(10861.898586692683), np.float64(10282.015496525575), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(9495.284186744268), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8464.83604069286), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317), np.float64(8372.767128899317)]",20,1.0,2.0,0.1,50
berlin52,ACO_tune_0,44,7921.182399440356,3.44183087348938,5.027610705918268,"[23, np.int64(20), np.int64(50), np.int64(29), np.int64(16), np.int64(46), np.int64(44), np.int64(36), np.int64(35), np.int64(34), np.int64(39), np.int64(40), np.int64(37), np.int64(48), np.int64(24), np.int64(38), np.int64(15), np.int64(5), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(14), np.int64(13), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(21), np.int64(17), np.int64(3), np.int64(18), np.int64(7), np.int64(2), np.int64(42), np.int64(30)]","[np.float64(13778.130080773022), np.float64(13471.439444633734), np.float64(12428.069318340815), np.float64(12428.069318340815), np.float64(12062.856550725204), np.float64(11431.07926850128), np.float64(11050.88836716405), np.float64(10747.750369821439), np.float64(10747.750369821439), np.float64(10747.750369821439), np.float64(10610.477804310547), np.float64(10285.401193947724), np.float64(10285.401193947724), np.float64(10285.401193947724), np.float64(9783.473904391414), np.float64(9535.161524480074), np.float64(9535.161524480074), np.float64(9535.161524480074), np.float64(9535.161524480074), np.float64(9535.161524480074), np.float64(9535.161524480074), np.float64(9463.265085868043), np.float64(9306.425103499983), np.float64(8938.084603250696), np.float64(8857.1435274405), np.float64(8857.1435274405), np.float64(8857.1435274405), np.float64(8857.1435274405), np.float64(8857.1435274405), np.float64(8857.1435274405), np.float64(8570.116264253043), np.float64(8570.116264253043), np.float64(8570.116264253043), np.float64(8570.116264253043), np.float64(8570.116264253043), np.float64(8570.116264253043), np.float64(8570.116264253043), np.float64(8570.116264253043), np.float64(8557.574271274938), np.float64(8557.574271274938), np.float64(8557.574271274938), np.float64(8557.574271274938), np.float64(8557.574271274938), np.float64(8557.574271274938), np.float64(8557.574271274938), np.float64(8557.574271274938), np.float64(8557.574271274938), np.float64(8383.93116942972), np.float64(7921.182399440356), np.float64(7921.182399440356)]",20,1.0,2.0,0.1,50
