Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,pop_size,pm,pc,elitism_k,iterations
berlin52,GA_tune_1,42,10176.968198933726,1.2706680297851562,34.93726065942357,"[50, 29, 30, 42, 7, 2, 17, 31, 16, 44, 48, 37, 36, 35, 34, 40, 38, 15, 4, 25, 5, 6, 24, 46, 12, 26, 47, 14, 52, 13, 27, 28, 51, 11, 33, 8, 41, 9, 10, 43, 45, 19, 3, 21, 18, 39, 32, 49, 1, 22, 23, 20]","[np.float64(26073.601941955316), np.float64(25353.311142743565), np.float64(25045.27141930592), np.float64(25003.36344243009), np.float64(25003.36344243009), np.float64(24506.900777061175), np.float64(24011.480384326645), np.float64(23712.258587583732), np.float64(23259.82988973784), np.float64(22107.971170185538), np.float64(21360.875127797633), np.float64(19431.548106364808), np.float64(19431.548106364808), np.float64(18908.175003275835), np.float64(18908.175003275835), np.float64(17795.365478639476), np.float64(17795.365478639476), np.float64(17795.365478639476), np.float64(17708.953549860387), np.float64(17708.953549860387), np.float64(17580.933607059596), np.float64(17371.16214716826), np.float64(17181.301942509315), np.float64(16896.326889632466), np.float64(16438.208717828293), np.float64(16438.208717828293), np.float64(16438.208717828293), np.float64(16220.501540686038), np.float64(16220.501540686038), np.float64(16207.083655358589), np.float64(16064.520841613003), np.float64(16064.520841613003), np.float64(15788.80290928258), np.float64(15620.661044789544), np.float64(15387.359093936473), np.float64(15381.614435190835), np.float64(15381.614435190835), np.float64(15381.614435190835), np.float64(15381.614435190835), np.float64(14935.040678117533), np.float64(14935.040678117533), np.float64(14935.040678117533), np.float64(14802.84005536957), np.float64(14802.577329858539), np.float64(14501.076802666634), np.float64(14368.876179918669), np.float64(14368.876179918669), np.float64(14136.936733603561), np.float64(13881.156308723299), np.float64(13881.156308723299), np.float64(13794.202660140823), np.float64(13794.202660140823), np.float64(13794.202660140823), np.float64(13794.202660140823), np.float64(13745.169524605999), np.float64(13467.387793061565), np.float64(13467.387793061565), np.float64(13307.20561373092), np.float64(13261.41647995464), np.float64(13258.172478196093), np.float64(13210.208118639272), np.float64(13210.208118639272), np.float64(13210.208118639272), np.float64(13185.097912923404), np.float64(13185.097912923404), np.float64(13185.097912923404), np.float64(13185.097912923404), np.float64(13185.097912923404), np.float64(13185.097912923404), np.float64(12817.669678832368), np.float64(12817.669678832368), np.float64(12817.669678832368), np.float64(12817.669678832368), np.float64(12817.669678832368), np.float64(12817.669678832368), np.float64(12756.03285565984), np.float64(12756.03285565984), np.float64(12640.95309417515), np.float64(12640.95309417515), np.float64(12453.60921374157), np.float64(12453.60921374157), np.float64(12200.533428672348), np.float64(12200.533428672348), np.float64(12124.165020268314), np.float64(11999.363844950012), np.float64(11999.363844950012), np.float64(11999.363844950012), np.float64(11999.363844950012), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11922.995436545978), np.float64(11914.36358083343), np.float64(11884.546768818445), np.float64(11807.821424940832), np.float64(11807.821424940832), np.float64(11721.538615131356), np.float64(11666.861713246515), np.float64(11666.861713246515), np.float64(11666.861713246515), np.float64(11606.32312883859), np.float64(11541.38991732242), np.float64(11480.851332914495), np.float64(11480.851332914495), np.float64(11480.851332914495), np.float64(11480.851332914495), np.float64(11480.851332914495), np.float64(11480.851332914495), np.float64(10935.174702695082), np.float64(10935.174702695082), np.float64(10935.174702695082), np.float64(10935.174702695082), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10889.19446930292), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10748.110014738179), np.float64(10740.665211643362), np.float64(10740.665211643362), np.float64(10740.665211643362), np.float64(10740.665211643362), np.float64(10585.45867751168), np.float64(10585.45867751168), np.float64(10585.45867751168), np.float64(10585.45867751168), np.float64(10585.45867751168), np.float64(10585.45867751168), np.float64(10516.337188167068), np.float64(10516.337188167068), np.float64(10516.337188167068), np.float64(10516.337188167068), np.float64(10516.337188167068), np.float64(10516.337188167068), np.float64(10516.337188167068), np.float64(10235.191456731862), np.float64(10235.191456731862), np.float64(10235.191456731862), np.float64(10235.191456731862), np.float64(10176.968198933726), np.float64(10176.968198933726), np.float64(10176.968198933726)]",50,0.05,0.95,2,200
berlin52,GA_tune_1,43,9687.638401820932,0.869452714920044,28.44919652374611,"[7, 2, 30, 29, 16, 44, 34, 36, 35, 49, 32, 8, 45, 40, 38, 5, 6, 4, 24, 39, 48, 15, 37, 46, 25, 26, 13, 52, 14, 47, 27, 28, 12, 11, 51, 33, 43, 9, 10, 41, 19, 18, 3, 17, 23, 20, 50, 1, 22, 31, 21, 42]","[np.float64(25603.56416817617), np.float64(24898.944411272416), np.float64(24284.74374179537), np.float64(23357.46062579711), np.float64(22999.030911504953), np.float64(22999.030911504953), np.float64(21853.159514527164), np.float64(21769.737070513056), np.float64(21726.307457177365), np.float64(21350.29049758242), np.float64(20758.886138233014), np.float64(20758.886138233014), np.float64(20454.382410701553), np.float64(19813.348343905855), np.float64(19316.067948027132), np.float64(19316.067948027132), np.float64(19117.329654230714), np.float64(18699.031043074516), np.float64(18292.80854976343), np.float64(18189.150824056906), np.float64(17995.644855687697), np.float64(17682.798579960898), np.float64(17447.25850254023), np.float64(17318.08236223457), np.float64(17043.845745512856), np.float64(16851.36882115411), np.float64(16851.36882115411), np.float64(16851.36882115411), np.float64(16709.7821735469), np.float64(16261.488497518163), np.float64(16224.508349615411), np.float64(16224.508349615411), np.float64(16111.951517851196), np.float64(16111.951517851196), np.float64(15871.116160885133), np.float64(15735.740452122174), np.float64(15460.741853834323), np.float64(15192.49127653585), np.float64(15192.49127653585), np.float64(14928.102027801653), np.float64(14928.102027801653), np.float64(14928.102027801653), np.float64(14884.342512720255), np.float64(14716.941853843446), np.float64(14716.941853843446), np.float64(14322.423904324078), np.float64(14322.423904324078), np.float64(14099.105656597518), np.float64(13942.077895391229), np.float64(13556.227265877194), np.float64(13519.597763947098), np.float64(13439.460968022771), np.float64(13312.94208673703), np.float64(13030.924591809697), np.float64(13005.953416806977), np.float64(12863.392524273904), np.float64(12645.541548588795), np.float64(12566.644009818796), np.float64(12390.473594560182), np.float64(12390.473594560182), np.float64(11960.718577252954), np.float64(11960.718577252952), np.float64(11812.590499807005), np.float64(11812.590499807005), np.float64(11776.930748323724), np.float64(11708.081667577108), np.float64(11619.601943410418), np.float64(11619.601943410418), np.float64(11619.601943410418), np.float64(11619.601943410418), np.float64(11552.771961655799), np.float64(11552.771961655799), np.float64(11552.771961655799), np.float64(11552.771961655799), np.float64(11377.079174278426), np.float64(11377.079174278426), np.float64(11377.079174278426), np.float64(11310.249192523806), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11242.255152856658), np.float64(11112.856840620936), np.float64(11112.856840620936), np.float64(11112.856840620936), np.float64(11112.856840620936), np.float64(11112.856840620936), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10896.925759565289), np.float64(10848.203741886178), np.float64(10848.203741886178), np.float64(10848.203741886178), np.float64(10848.203741886178), np.float64(10848.203741886178), np.float64(10848.203741886178), np.float64(10848.203741886178), np.float64(10848.203741886178), np.float64(10837.603793669228), np.float64(10837.603793669228), np.float64(10837.603793669228), np.float64(10837.603793669228), np.float64(10837.603793669228), np.float64(10687.46539405243), np.float64(10687.46539405243), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10577.355033765238), np.float64(10446.284160774076), np.float64(10446.284160774076), np.float64(10446.284160774076), np.float64(10446.284160774076), np.float64(10446.284160774076), np.float64(10446.284160774076), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10411.573249588131), np.float64(10365.24427465443), np.float64(10365.24427465443), np.float64(10330.864639487718), np.float64(10330.864639487718), np.float64(10230.04294415576), np.float64(10060.17338548153), np.float64(10060.17338548153), np.float64(10003.488525929417), np.float64(9798.756050859669), np.float64(9798.756050859669), np.float64(9756.63168554709), np.float64(9723.977539395073), np.float64(9723.977539395073), np.float64(9723.977539395073), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9723.977539395071), np.float64(9687.638401820932), np.float64(9687.638401820932), np.float64(9687.638401820932), np.float64(9687.638401820932)]",50,0.05,0.95,2,200
berlin52,GA_tune_1,44,9716.950871260327,0.8514657020568848,28.83785297348618,"[17, 3, 19, 45, 49, 32, 22, 31, 18, 8, 41, 9, 43, 33, 10, 6, 25, 12, 28, 27, 26, 47, 14, 13, 52, 11, 51, 4, 24, 37, 35, 48, 5, 15, 38, 40, 39, 36, 34, 44, 46, 1, 20, 50, 16, 29, 30, 23, 21, 7, 2, 42]","[np.float64(24765.91554196067), np.float64(24163.045558140147), np.float64(23623.103945222567), np.float64(23125.055502256473), np.float64(23048.362528670248), np.float64(21955.522432711314), np.float64(20916.48754736033), np.float64(20876.509437898214), np.float64(20689.050858524988), np.float64(19802.337626266763), np.float64(19802.337626266763), np.float64(19734.959403658384), np.float64(18702.239055025446), np.float64(18702.239055025446), np.float64(18532.00827433512), np.float64(18493.709151009854), np.float64(18439.6249861734), np.float64(18227.676154223765), np.float64(18227.676154223765), np.float64(17755.475473387156), np.float64(17755.475473387156), np.float64(17417.55534885806), np.float64(17143.308852309725), np.float64(17143.308852309725), np.float64(17044.48930926104), np.float64(16465.885837228972), np.float64(16465.885837228972), np.float64(16465.885837228972), np.float64(15879.72944867676), np.float64(15879.72944867676), np.float64(15879.72944867676), np.float64(15805.24851007774), np.float64(15805.24851007774), np.float64(15533.260531765398), np.float64(15190.579960403331), np.float64(15188.72091451928), np.float64(14949.729708030902), np.float64(14949.729708030902), np.float64(14702.029563205197), np.float64(14620.533038979414), np.float64(14620.533038979414), np.float64(14333.880161756286), np.float64(14270.103981735972), np.float64(14025.956121766088), np.float64(14025.956121766088), np.float64(13939.607000192847), np.float64(13411.18573663609), np.float64(13411.18573663609), np.float64(13411.18573663609), np.float64(13236.601563895883), np.float64(13236.601563895883), np.float64(13236.601563895883), np.float64(13126.742038499859), np.float64(13126.742038499859), np.float64(13126.742038499859), np.float64(13126.742038499859), np.float64(13027.212488021145), np.float64(13027.212488021145), np.float64(12871.391642360994), np.float64(12717.41661195066), np.float64(12717.41661195066), np.float64(12552.18520202109), np.float64(12552.18520202109), np.float64(12552.18520202109), np.float64(12429.878728017959), np.float64(12429.878728017959), np.float64(12429.878728017959), np.float64(12429.878728017959), np.float64(12320.05031455501), np.float64(12320.05031455501), np.float64(12320.05031455501), np.float64(12320.05031455501), np.float64(12320.05031455501), np.float64(12320.05031455501), np.float64(12010.040859344123), np.float64(11924.521609111764), np.float64(11924.521609111764), np.float64(11856.644530597072), np.float64(11636.98372517906), np.float64(11636.98372517906), np.float64(11636.98372517906), np.float64(11636.983725179058), np.float64(11636.983725179058), np.float64(11636.983725179058), np.float64(11636.983725179058), np.float64(11636.983725179058), np.float64(11636.983725179058), np.float64(11636.983725179058), np.float64(11636.983725179058), np.float64(11535.071251447549), np.float64(11529.269652057948), np.float64(11475.680989514409), np.float64(11448.130240401022), np.float64(11448.130240401022), np.float64(11399.302632589872), np.float64(11391.579957244105), np.float64(11384.82310188226), np.float64(11360.136056844207), np.float64(11112.381400161436), np.float64(11112.381400161436), np.float64(10883.102235870769), np.float64(10883.102235870769), np.float64(10802.438047254702), np.float64(10802.438047254702), np.float64(10673.313772575231), np.float64(10673.313772575231), np.float64(10600.1421995862), np.float64(10600.1421995862), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10528.4468167346), np.float64(10522.790189231555), np.float64(10491.082922232732), np.float64(10491.082922232732), np.float64(10485.426294729687), np.float64(10485.426294729687), np.float64(10475.010012741535), np.float64(10475.010012741535), np.float64(10475.010012741535), np.float64(10475.010012741535), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9982.577063219653), np.float64(9977.560326803694), np.float64(9977.560326803694), np.float64(9937.604557062094), np.float64(9917.425843331506), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9850.41636729622), np.float64(9716.950871260327), np.float64(9716.950871260327)]",50,0.05,0.95,2,200
