Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,iterations,alpha,beta,rho,Q
st70,ACO,42,760.8468037879859,14.809308767318726,12.71804500562754,"[55, np.int64(49), np.int64(26), np.int64(8), np.int64(28), np.int64(3), np.int64(32), np.int64(7), np.int64(2), np.int64(4), np.int64(18), np.int64(42), np.int64(6), np.int64(41), np.int64(43), np.int64(17), np.int64(34), np.int64(21), np.int64(12), np.int64(60), np.int64(52), np.int64(10), np.int64(5), np.int64(53), np.int64(66), np.int64(63), np.int64(22), np.int64(59), np.int64(38), np.int64(69), np.int64(31), np.int64(13), np.int64(29), np.int64(70), np.int64(35), np.int64(15), np.int64(24), np.int64(19), np.int64(57), np.int64(16), np.int64(1), np.int64(36), np.int64(23), np.int64(47), np.int64(37), np.int64(58), np.int64(50), np.int64(51), np.int64(65), np.int64(64), np.int64(11), np.int64(56), np.int64(67), np.int64(48), np.int64(54), np.int64(33), np.int64(62), np.int64(39), np.int64(61), np.int64(9), np.int64(40), np.int64(45), np.int64(25), np.int64(46), np.int64(27), np.int64(68), np.int64(44), np.int64(30), np.int64(20), np.int64(14)]","[np.float64(1330.8913309297025), np.float64(1107.2711629495689), np.float64(956.1788464891949), np.float64(950.019424280261), np.float64(905.4725576665584), np.float64(876.2357561567529), np.float64(876.2357561567529), np.float64(833.4342089723696), np.float64(833.4342089723696), np.float64(833.4342089723696), np.float64(833.4342089723696), np.float64(833.4342089723696), np.float64(820.8960907894239), np.float64(820.8960907894239), np.float64(820.8960907894239), np.float64(820.8960907894239), np.float64(802.2733378939016), np.float64(802.2733378939016), np.float64(798.6014231095317), np.float64(798.6014231095317), np.float64(798.6014231095317), np.float64(798.6014231095317), np.float64(798.6014231095317), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(770.7000291849492), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(769.3165864901079), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859), np.float64(760.8468037879859)]",30,100,1.0,2.0,0.1,100.0
st70,ACO,43,765.5044347404661,14.726757526397705,13.408064405994974,"[43, np.int64(17), np.int64(9), np.int64(27), np.int64(46), np.int64(40), np.int64(61), np.int64(45), np.int64(25), np.int64(39), np.int64(62), np.int64(54), np.int64(33), np.int64(60), np.int64(12), np.int64(34), np.int64(21), np.int64(67), np.int64(48), np.int64(11), np.int64(64), np.int64(65), np.int64(56), np.int64(51), np.int64(50), np.int64(58), np.int64(37), np.int64(47), np.int64(16), np.int64(1), np.int64(36), np.int64(23), np.int64(38), np.int64(22), np.int64(63), np.int64(66), np.int64(57), np.int64(24), np.int64(15), np.int64(35), np.int64(70), np.int64(29), np.int64(13), np.int64(31), np.int64(69), np.int64(59), np.int64(52), np.int64(10), np.int64(5), np.int64(53), np.int64(41), np.int64(6), np.int64(42), np.int64(18), np.int64(4), np.int64(2), np.int64(7), np.int64(19), np.int64(55), np.int64(49), np.int64(26), np.int64(8), np.int64(28), np.int64(14), np.int64(20), np.int64(30), np.int64(68), np.int64(44), np.int64(3), np.int64(32)]","[np.float64(1437.267942396361), np.float64(1070.8278178647813), np.float64(1007.2418575544078), np.float64(1007.2418575544078), np.float64(952.4766536436609), np.float64(853.5061639072551), np.float64(853.5061639072551), np.float64(853.5061639072551), np.float64(853.5061639072551), np.float64(853.5061639072551), np.float64(834.6715449539499), np.float64(834.6715449539499), np.float64(834.6715449539499), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(812.0495406407681), np.float64(802.7587697164619), np.float64(802.7587697164619), np.float64(802.7587697164619), np.float64(802.7587697164619), np.float64(802.7587697164619), np.float64(802.7587697164619), np.float64(802.7587697164619), np.float64(802.7587697164619), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661), np.float64(765.5044347404661)]",30,100,1.0,2.0,0.1,100.0
st70,ACO,44,771.2500510956194,14.683377504348755,14.259266828980646,"[66, np.int64(63), np.int64(22), np.int64(59), np.int64(38), np.int64(13), np.int64(29), np.int64(70), np.int64(31), np.int64(69), np.int64(35), np.int64(15), np.int64(24), np.int64(57), np.int64(19), np.int64(7), np.int64(2), np.int64(4), np.int64(18), np.int64(42), np.int64(32), np.int64(3), np.int64(28), np.int64(8), np.int64(26), np.int64(49), np.int64(55), np.int64(20), np.int64(30), np.int64(14), np.int64(44), np.int64(68), np.int64(9), np.int64(40), np.int64(61), np.int64(39), np.int64(45), np.int64(25), np.int64(46), np.int64(27), np.int64(62), np.int64(54), np.int64(67), np.int64(48), np.int64(11), np.int64(56), np.int64(51), np.int64(65), np.int64(64), np.int64(36), np.int64(1), np.int64(23), np.int64(47), np.int64(16), np.int64(58), np.int64(37), np.int64(50), np.int64(10), np.int64(52), np.int64(60), np.int64(33), np.int64(12), np.int64(34), np.int64(21), np.int64(17), np.int64(43), np.int64(41), np.int64(6), np.int64(53), np.int64(5)]","[np.float64(1425.519638124984), np.float64(1148.2530931200806), np.float64(1024.1424544789106), np.float64(911.8616258491105), np.float64(911.8616258491105), np.float64(911.8616258491105), np.float64(893.483288542602), np.float64(869.2174161092615), np.float64(869.2174161092615), np.float64(831.9422251898709), np.float64(831.9422251898709), np.float64(831.9422251898709), np.float64(831.9422251898709), np.float64(831.9422251898709), np.float64(831.9422251898709), np.float64(831.9422251898709), np.float64(828.1983960074666), np.float64(813.4977286262057), np.float64(813.4977286262057), np.float64(813.4977286262057), np.float64(813.4977286262057), np.float64(813.4977286262057), np.float64(813.4977286262057), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(778.4055765678892), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(776.7534530232252), np.float64(771.2500510956194), np.float64(771.2500510956194), np.float64(771.2500510956194), np.float64(771.2500510956194), np.float64(771.2500510956194), np.float64(771.2500510956194), np.float64(771.2500510956194)]",30,100,1.0,2.0,0.1,100.0
st70,ACO,45,760.2955038561857,14.467606544494629,12.636370941657146,"[12, np.int64(60), np.int64(52), np.int64(10), np.int64(5), np.int64(53), np.int64(66), np.int64(22), np.int64(63), np.int64(59), np.int64(38), np.int64(23), np.int64(1), np.int64(36), np.int64(13), np.int64(29), np.int64(70), np.int64(31), np.int64(69), np.int64(35), np.int64(57), np.int64(15), np.int64(24), np.int64(19), np.int64(7), np.int64(2), np.int64(4), np.int64(18), np.int64(42), np.int64(6), np.int64(41), np.int64(43), np.int64(17), np.int64(9), np.int64(40), np.int64(61), np.int64(39), np.int64(45), np.int64(25), np.int64(46), np.int64(27), np.int64(68), np.int64(44), np.int64(30), np.int64(20), np.int64(14), np.int64(28), np.int64(8), np.int64(26), np.int64(49), np.int64(55), np.int64(32), np.int64(3), np.int64(50), np.int64(58), np.int64(37), np.int64(47), np.int64(16), np.int64(64), np.int64(65), np.int64(56), np.int64(51), np.int64(11), np.int64(48), np.int64(67), np.int64(54), np.int64(62), np.int64(33), np.int64(21), np.int64(34)]","[np.float64(1378.485587627162), np.float64(1077.3767557229603), np.float64(963.934295901945), np.float64(963.934295901945), np.float64(907.521508662286), np.float64(907.521508662286), np.float64(886.5354097050146), np.float64(872.3046427870202), np.float64(829.7449170579398), np.float64(829.7449170579398), np.float64(829.7449170579398), np.float64(829.7449170579398), np.float64(829.7449170579398), np.float64(829.7449170579398), np.float64(829.7449170579398), np.float64(829.7449170579398), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(806.3395385833462), np.float64(796.8227101297894), np.float64(796.8227101297894), np.float64(796.8227101297894), np.float64(796.8227101297894), np.float64(796.8227101297894), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(789.6808301041875), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(788.6112257176056), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(787.4962952614139), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(780.1148069395963), np.float64(760.2955038561857)]",30,100,1.0,2.0,0.1,100.0
st70,ACO,46,752.1141776243476,15.5234956741333,11.424322611014457,"[26, np.int64(8), np.int64(28), np.int64(3), np.int64(32), np.int64(53), np.int64(5), np.int64(10), np.int64(52), np.int64(60), np.int64(12), np.int64(21), np.int64(34), np.int64(33), np.int64(54), np.int64(62), np.int64(64), np.int64(67), np.int64(48), np.int64(11), np.int64(65), np.int64(56), np.int64(51), np.int64(50), np.int64(58), np.int64(37), np.int64(47), np.int64(23), np.int64(36), np.int64(1), np.int64(16), np.int64(29), np.int64(13), np.int64(31), np.int64(69), np.int64(70), np.int64(35), np.int64(38), np.int64(59), np.int64(22), np.int64(63), np.int64(66), np.int64(57), np.int64(15), np.int64(24), np.int64(19), np.int64(7), np.int64(2), np.int64(4), np.int64(18), np.int64(42), np.int64(6), np.int64(41), np.int64(43), np.int64(17), np.int64(9), np.int64(40), np.int64(61), np.int64(39), np.int64(25), np.int64(45), np.int64(46), np.int64(27), np.int64(68), np.int64(44), np.int64(30), np.int64(20), np.int64(14), np.int64(55), np.int64(49)]","[np.float64(1350.168637187817), np.float64(1060.9715468266743), np.float64(942.7957341304506), np.float64(936.4281574019851), np.float64(936.4281574019851), np.float64(900.3915163976114), np.float64(900.3915163976114), np.float64(898.9342569815211), np.float64(877.2849803367118), np.float64(846.1321584918311), np.float64(846.1321584918311), np.float64(812.2443070326239), np.float64(812.2443070326239), np.float64(812.2443070326239), np.float64(812.2443070326239), np.float64(812.2443070326239), np.float64(812.2443070326239), np.float64(812.2443070326239), np.float64(812.2443070326239), np.float64(812.2443070326239), np.float64(786.2376881821496), np.float64(786.2376881821496), np.float64(786.2376881821496), np.float64(786.2376881821496), np.float64(786.2376881821496), np.float64(786.2376881821496), np.float64(782.2580899204952), np.float64(782.2580899204952), np.float64(782.2580899204952), np.float64(782.2580899204952), np.float64(782.2580899204952), np.float64(782.2580899204952), np.float64(782.2580899204952), np.float64(782.2580899204952), np.float64(782.2580899204952), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(754.3283877693513), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476), np.float64(752.1141776243476)]",30,100,1.0,2.0,0.1,100.0
