Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,pop_size,threshold,iterations
berlin52,CBGA_tune_1,42,8018.054432291186,1.2300629615783691,6.312044978668596,"[5, 6, 4, 15, 40, 39, 36, 35, 34, 44, 16, 50, 20, 29, 30, 2, 7, 42, 21, 23, 1, 49, 32, 22, 31, 18, 17, 3, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 14, 13, 47, 26, 27, 28, 12, 25, 46, 37, 38, 48, 24]","[np.float64(20988.754642392796), np.float64(19687.912792332874), np.float64(19687.912792332874), np.float64(19687.912792332874), np.float64(19687.912792332874), np.float64(19687.912792332874), np.float64(19687.912792332874), np.float64(19687.912792332874), np.float64(19486.78366523635), np.float64(19416.227780229277), np.float64(19416.227780229277), np.float64(19416.227780229277), np.float64(17796.142376782085), np.float64(17796.142376782085), np.float64(17796.142376782085), np.float64(17796.142376782085), np.float64(17796.142376782085), np.float64(17796.142376782085), np.float64(17796.142376782085), np.float64(17796.142376782085), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(16010.071045383282), np.float64(14455.364459677692), np.float64(14455.364459677692), np.float64(14455.364459677692), np.float64(14126.754366548814), np.float64(14126.754366548814), np.float64(14126.754366548814), np.float64(14126.754366548814), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12944.902165180556), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12535.76327858198), np.float64(12523.51010652708), np.float64(12523.51010652708), np.float64(12523.51010652708), np.float64(12523.51010652708), np.float64(12523.51010652708), np.float64(12523.51010652708), np.float64(12523.51010652708), np.float64(12523.51010652708), np.float64(12523.51010652708), np.float64(12023.29939726106), np.float64(11579.996808009544), np.float64(11579.996808009544), np.float64(10898.442917264505), np.float64(10898.442917264505), np.float64(10898.442917264505), np.float64(10898.442917264505), np.float64(10898.442917264505), np.float64(10898.442917264505), np.float64(10457.427281266713), np.float64(10457.427281266713), np.float64(10457.427281266713), np.float64(10457.427281266713), np.float64(10457.427281266713), np.float64(10457.427281266713), np.float64(10457.427281266713), np.float64(10457.427281266713), np.float64(10155.84289371501), np.float64(10155.84289371501), np.float64(10155.84289371501), np.float64(10155.84289371501), np.float64(10155.84289371501), np.float64(9552.851740909093), np.float64(9552.851740909093), np.float64(9552.851740909093), np.float64(9552.851740909093), np.float64(9552.851740909093), np.float64(9552.851740909093), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8605.151243365082), np.float64(8482.006873043829), np.float64(8482.006873043829), np.float64(8482.006873043829), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8218.935141647295), np.float64(8113.080554261231), np.float64(8113.080554261231), np.float64(8113.080554261231), np.float64(8113.080554261231), np.float64(8113.080554261231), np.float64(8113.080554261231), np.float64(8113.080554261231), np.float64(8113.080554261231), np.float64(8113.080554261231), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186), np.float64(8018.054432291186)]",50,10,200
berlin52,CBGA_tune_1,43,7895.2775573107765,1.0222697257995605,4.68413626771117,"[12, 25, 4, 43, 33, 10, 9, 8, 41, 19, 45, 32, 49, 1, 22, 31, 18, 3, 17, 21, 42, 7, 2, 30, 23, 20, 50, 29, 16, 44, 34, 35, 36, 39, 40, 38, 15, 6, 5, 24, 48, 37, 46, 47, 26, 28, 27, 13, 14, 52, 11, 51]","[np.float64(22295.31063320391), np.float64(20275.31270438384), np.float64(20275.31270438384), np.float64(20275.31270438384), np.float64(19525.691978589093), np.float64(19525.691978589093), np.float64(19525.691978589093), np.float64(19525.691978589093), np.float64(18410.037556168976), np.float64(18410.037556168976), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(17396.463444194782), np.float64(16337.601627138045), np.float64(16337.601627138045), np.float64(16337.601627138045), np.float64(16337.601627138045), np.float64(14359.82600049376), np.float64(14359.82600049376), np.float64(14359.82600049376), np.float64(14359.82600049376), np.float64(14359.82600049376), np.float64(14359.82600049376), np.float64(14359.82600049376), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13505.693804588867), np.float64(13015.961514784492), np.float64(13015.961514784492), np.float64(13015.961514784492), np.float64(13015.961514784492), np.float64(13015.961514784492), np.float64(13015.961514784492), np.float64(13015.961514784492), np.float64(12280.645412080425), np.float64(12280.645412080425), np.float64(12280.645412080425), np.float64(11781.710281421743), np.float64(11781.710281421743), np.float64(11781.710281421743), np.float64(11781.710281421743), np.float64(11781.710281421743), np.float64(11781.710281421743), np.float64(11781.710281421743), np.float64(11781.710281421743), np.float64(11781.710281421743), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10752.067275604491), np.float64(10674.442460379212), np.float64(10674.442460379212), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(10528.807125075415), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(9429.375376445143), np.float64(8858.12983548552), np.float64(8858.12983548552), np.float64(8858.12983548552), np.float64(8858.12983548552), np.float64(8858.12983548552), np.float64(8858.12983548552), np.float64(8858.12983548552), np.float64(8858.12983548552), np.float64(8858.12983548552), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8792.86326458628), np.float64(8639.989681625464), np.float64(8639.989681625464), np.float64(8639.989681625464), np.float64(8639.989681625464), np.float64(8445.929280624781), np.float64(8445.929280624781), np.float64(8040.46204712791), np.float64(8040.46204712791), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(8040.4620471279095), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7916.606063050453), np.float64(7895.2775573107765), np.float64(7895.2775573107765), np.float64(7895.2775573107765), np.float64(7895.2775573107765), np.float64(7895.2775573107765), np.float64(7895.2775573107765), np.float64(7895.2775573107765), np.float64(7895.2775573107765), np.float64(7895.2775573107765), np.float64(7895.2775573107765)]",50,10,200
berlin52,CBGA_tune_1,44,7735.207990022584,1.0480315685272217,2.5617606738608387,"[22, 1, 49, 32, 45, 19, 41, 8, 9, 10, 43, 33, 51, 11, 52, 14, 13, 47, 26, 27, 28, 12, 25, 4, 6, 15, 5, 24, 48, 46, 37, 38, 40, 39, 36, 35, 34, 44, 16, 20, 23, 50, 29, 30, 2, 7, 42, 21, 17, 3, 18, 31]","[np.float64(22268.688000507376), np.float64(18939.730706424703), np.float64(18939.730706424703), np.float64(18502.41468407225), np.float64(18502.41468407225), np.float64(18502.41468407225), np.float64(18218.85027127513), np.float64(18218.85027127513), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(15374.462102860649), np.float64(12747.578340771923), np.float64(12747.578340771923), np.float64(12747.578340771923), np.float64(12747.578340771923), np.float64(12747.578340771923), np.float64(12747.578340771923), np.float64(12747.578340771923), np.float64(12747.578340771923), np.float64(12747.578340771923), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(11525.343349609178), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(10543.968682465038), np.float64(9325.250917841238), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(9221.266266227698), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8775.910877547916), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8254.895346635014), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8012.530022623104), np.float64(8005.445535410916), np.float64(8005.445535410916), np.float64(8005.445535410916), np.float64(7984.9252549924195), np.float64(7984.9252549924195), np.float64(7984.9252549924195), np.float64(7984.9252549924195), np.float64(7984.9252549924195), np.float64(7984.9252549924195), np.float64(7984.9252549924195), np.float64(7984.9252549924195), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7950.802593693797), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7873.6524007600265), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584), np.float64(7735.207990022584)]",50,10,200
