Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,iterations,alpha,beta,rho,Q
berlin52,ACO,42,7938.156491032869,9.796156167984009,5.252671586222075,"[46, np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(37), np.int64(40), np.int64(38), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(42), np.int64(7), np.int64(2), np.int64(50), np.int64(20), np.int64(23), np.int64(21), np.int64(30), np.int64(29), np.int64(16)]","[np.float64(14110.203573480438), np.float64(13206.362097179468), np.float64(11981.13352236184), np.float64(10691.985079357755), np.float64(10691.985079357755), np.float64(10618.828995109256), np.float64(10534.25080222045), np.float64(10534.25080222045), np.float64(10211.272049898878), np.float64(9786.809657591088), np.float64(9763.950993043169), np.float64(9763.950993043169), np.float64(9763.950993043169), np.float64(9763.950993043169), np.float64(9763.950993043169), np.float64(9179.794997729246), np.float64(9179.794997729246), np.float64(9179.794997729246), np.float64(9046.376400443765), np.float64(9046.376400443765), np.float64(9046.376400443765), np.float64(9046.376400443765), np.float64(9046.376400443765), np.float64(9046.376400443765), np.float64(9046.376400443765), np.float64(9046.376400443765), np.float64(8997.790066744454), np.float64(8897.436845461742), np.float64(8897.436845461742), np.float64(8897.436845461742), np.float64(8849.885217603043), np.float64(8468.388412994675), np.float64(8468.388412994675), np.float64(8468.388412994675), np.float64(8468.388412994675), np.float64(8468.388412994675), np.float64(8468.388412994675), np.float64(8468.388412994675), np.float64(8468.388412994675), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8246.509200544617), np.float64(8175.310192476881), np.float64(8147.849646779933), np.float64(8147.849646779933), np.float64(8147.849646779933), np.float64(8147.849646779933), np.float64(8147.849646779933), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(8018.533929777074), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869), np.float64(7938.156491032869)]",30,100,1.0,2.0,0.1,100.0
berlin52,ACO,43,7737.784887861734,9.842432975769043,2.595927974830737,"[30, np.int64(21), np.int64(23), np.int64(50), np.int64(20), np.int64(29), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(24), np.int64(48), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(42), np.int64(7), np.int64(2)]","[np.float64(13327.157899093852), np.float64(13327.157899093852), np.float64(12224.882904070397), np.float64(11513.10032801114), np.float64(10732.3768240192), np.float64(10732.3768240192), np.float64(10699.470121455004), np.float64(10289.027348809452), np.float64(10289.027348809452), np.float64(9767.432991311289), np.float64(9767.432991311289), np.float64(9600.434309266257), np.float64(9577.37087522906), np.float64(9577.37087522906), np.float64(9475.855762998284), np.float64(9475.855762998284), np.float64(9366.095222778848), np.float64(9366.095222778848), np.float64(9366.095222778848), np.float64(9366.095222778848), np.float64(9129.668723974713), np.float64(8925.757097851534), np.float64(8925.757097851534), np.float64(8925.757097851534), np.float64(8872.768324573708), np.float64(8872.768324573708), np.float64(8872.768324573708), np.float64(8872.768324573708), np.float64(8872.768324573708), np.float64(8872.768324573708), np.float64(8872.768324573708), np.float64(8689.916888346306), np.float64(8689.916888346306), np.float64(8689.916888346306), np.float64(8602.064055767156), np.float64(8602.064055767156), np.float64(8578.0717177244), np.float64(8578.0717177244), np.float64(8464.047960091611), np.float64(8464.047960091611), np.float64(8464.047960091611), np.float64(8216.773389522046), np.float64(8216.773389522046), np.float64(8204.171701963753), np.float64(8204.171701963753), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7874.996116059108), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7827.3869888069685), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734), np.float64(7737.784887861734)]",30,100,1.0,2.0,0.1,100.0
berlin52,ACO,44,7840.793067022954,9.796054601669312,3.9617219175676786,"[34, np.int64(44), np.int64(46), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29), np.int64(16), np.int64(50), np.int64(20), np.int64(23), np.int64(35), np.int64(36)]","[np.float64(13778.130080773022), np.float64(13151.442047150951), np.float64(11571.048264399684), np.float64(11020.973250301973), np.float64(11020.973250301973), np.float64(10225.102847624652), np.float64(10225.102847624652), np.float64(10225.102847624652), np.float64(10206.00742046382), np.float64(9645.094293086939), np.float64(9645.094293086939), np.float64(9440.538942914221), np.float64(9440.538942914221), np.float64(9440.538942914221), np.float64(9440.538942914221), np.float64(9440.538942914221), np.float64(9135.366875440586), np.float64(9048.447754618583), np.float64(9048.447754618583), np.float64(8990.557733872047), np.float64(8990.557733872047), np.float64(8990.557733872047), np.float64(8990.557733872047), np.float64(8990.557733872047), np.float64(8901.690554683972), np.float64(8901.690554683972), np.float64(8901.690554683972), np.float64(8756.972363359568), np.float64(8756.972363359568), np.float64(8756.972363359568), np.float64(8756.972363359568), np.float64(8656.474412524381), np.float64(8656.474412524381), np.float64(8656.474412524381), np.float64(8470.003219709468), np.float64(8405.88347165993), np.float64(8405.88347165993), np.float64(8405.88347165993), np.float64(8405.88347165993), np.float64(8405.88347165993), np.float64(8405.88347165993), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7971.598014244762), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954), np.float64(7840.793067022954)]",30,100,1.0,2.0,0.1,100.0
berlin52,ACO,45,7900.968294800686,9.805106163024902,4.759590225413493,"[34, np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29), np.int64(16), np.int64(50), np.int64(20), np.int64(23), np.int64(44), np.int64(46), np.int64(37), np.int64(49)]","[np.float64(13359.997201323138), np.float64(13162.11435347675), np.float64(11003.807560074845), np.float64(11003.807560074845), np.float64(11003.807560074845), np.float64(10684.544689373795), np.float64(10507.742826432814), np.float64(9799.664691471631), np.float64(9799.664691471631), np.float64(9799.664691471631), np.float64(9799.664691471631), np.float64(9773.330825223597), np.float64(9145.200334811352), np.float64(9145.200334811352), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8639.989744006867), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8378.034305940959), np.float64(8329.391079411635), np.float64(8329.391079411635), np.float64(8329.391079411635), np.float64(8261.705376267888), np.float64(8261.705376267888), np.float64(8261.705376267888), np.float64(8261.705376267888), np.float64(8261.705376267888), np.float64(8261.705376267888), np.float64(8261.705376267888), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8049.744357431668), np.float64(8032.908628187019), np.float64(8032.908628187019), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686), np.float64(7900.968294800686)]",30,100,1.0,2.0,0.1,100.0
berlin52,ACO,46,8019.275093256806,8.77505898475647,6.328229823081491,"[32, np.int64(49), np.int64(37), np.int64(38), np.int64(40), np.int64(39), np.int64(36), np.int64(35), np.int64(34), np.int64(44), np.int64(16), np.int64(46), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(3), np.int64(17), np.int64(21), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(23), np.int64(20), np.int64(50), np.int64(29), np.int64(1), np.int64(22), np.int64(31), np.int64(18)]","[np.float64(13732.071639398002), np.float64(11868.67449433118), np.float64(11868.67449433118), np.float64(11787.182472011027), np.float64(10272.890927990562), np.float64(10272.890927990562), np.float64(10272.890927990562), np.float64(10272.890927990562), np.float64(10272.890927990562), np.float64(9738.159257236528), np.float64(9738.159257236528), np.float64(9331.556237642515), np.float64(9331.556237642515), np.float64(9331.556237642515), np.float64(9079.817995780697), np.float64(9079.817995780697), np.float64(9079.817995780697), np.float64(9079.817995780697), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8439.085650230178), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8335.550132508732), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8311.908625766573), np.float64(8283.0397778256), np.float64(8283.0397778256), np.float64(8094.5472431223025), np.float64(8094.5472431223025), np.float64(8094.5472431223025), np.float64(8094.5472431223025), np.float64(8094.5472431223025), np.float64(8019.275093256806), np.float64(8019.275093256806), np.float64(8019.275093256806)]",30,100,1.0,2.0,0.1,100.0
